epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.5928,1.74678,1.60958,1.13938,0.06698,0.34907,0.19116,0.09283,1.89535,2.46202,1.15271,0.0675346,0.000272708,0.000272708
2,93.0304,1.63608,1.31273,1.10707,0.46441,0.22856,0.25061,0.11819,1.73707,1.56619,1.10265,0.0344572,0.00052858,0.00052858
3,140.232,1.58275,1.20538,1.09304,0.42497,0.28691,0.27459,0.13316,1.6564,1.26986,1.07803,0.0013577,0.000762461,0.000762461
4,187.561,1.59267,1.1841,1.0808,0.43993,0.29572,0.29308,0.13994,1.64753,1.24066,1.09388,0.00073404,0.00073404,0.00073404
5,234.758,1.57793,1.13065,1.08133,0.46587,0.31486,0.31478,0.15245,1.59941,1.13048,1.08837,0.000701053,0.000701053,0.000701053
6,281.436,1.55965,1.13343,1.07421,0.45762,0.31377,0.31693,0.15115,1.59983,1.12444,1.06696,0.000668066,0.000668066,0.000668066
7,346.348,1.55549,1.09711,1.06938,0.45703,0.32641,0.32689,0.15762,1.58276,1.12054,1.06458,0.000635079,0.000635079,0.000635079
8,357.228,1.50663,1.0542,1.05216,0.48322,0.32622,0.33283,0.16279,1.54702,1.10082,1.05703,0.000602092,0.000602092,0.000602092
9,367.794,1.50521,1.03373,1.0354,0.48301,0.33496,0.34327,0.16814,1.53973,1.05315,1.05953,0.000569106,0.000569106,0.000569106
10,378.6,1.45782,1.01028,1.03417,0.51059,0.33762,0.35536,0.1725,1.52572,1.04572,1.04552,0.000536119,0.000536119,0.000536119
11,389.194,1.47286,1.00331,1.03905,0.52272,0.3414,0.35869,0.17414,1.52946,1.02624,1.0516,0.000503132,0.000503132,0.000503132
12,400.021,1.47075,0.98485,1.02791,0.53208,0.35739,0.36873,0.17839,1.52246,1.00889,1.04559,0.000470145,0.000470145,0.000470145
13,410.938,1.44226,0.96758,1.01734,0.51267,0.35541,0.36671,0.17859,1.51135,1.01655,1.03854,0.000437158,0.000437158,0.000437158
14,421.692,1.43635,0.96941,1.02558,0.52649,0.35611,0.371,0.17929,1.5169,1.008,1.03815,0.000404172,0.000404172,0.000404172
15,432.485,1.43342,0.94545,1.02024,0.51303,0.3641,0.3772,0.18507,1.50764,0.99354,1.03424,0.000371185,0.000371185,0.000371185
16,443.734,1.46679,0.97781,1.01069,0.51103,0.34792,0.35994,0.17398,1.52619,1.02326,1.04263,0.000338198,0.000338198,0.000338198
17,454.255,1.44378,0.94547,1.0109,0.51511,0.34134,0.36177,0.17575,1.5198,1.02404,1.03947,0.000305211,0.000305211,0.000305211
18,464.823,1.45048,0.94181,1.00974,0.52104,0.35715,0.37093,0.18148,1.50938,0.97396,1.04501,0.000272224,0.000272224,0.000272224
19,475.35,1.43625,0.92402,1.00738,0.52932,0.37116,0.38416,0.18578,1.49419,0.96366,1.0362,0.000239238,0.000239238,0.000239238
20,486.126,1.44424,0.90097,1.00506,0.52752,0.37539,0.38839,0.18654,1.49798,0.9664,1.03053,0.000206251,0.000206251,0.000206251
21,496.617,1.3919,0.88818,0.99905,0.54001,0.36593,0.38662,0.18841,1.48434,0.96224,1.0295,0.000173264,0.000173264,0.000173264
22,507.327,1.41804,0.88595,1.00928,0.54038,0.37142,0.39288,0.19077,1.48489,0.95207,1.02831,0.000140277,0.000140277,0.000140277
23,517.873,1.38126,0.86898,0.9972,0.54599,0.37846,0.39815,0.19371,1.46766,0.93732,1.02517,0.00010729,0.00010729,0.00010729
24,528.558,1.36475,0.85869,0.98691,0.54659,0.38279,0.39928,0.19381,1.47072,0.93367,1.0247,7.43036e-05,7.43036e-05,7.43036e-05
25,539.205,1.36635,0.84494,0.99193,0.53452,0.38526,0.39792,0.19518,1.46548,0.9272,1.02195,4.13168e-05,4.13168e-05,4.13168e-05
