epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.0947,1.7337,1.61296,1.12283,0.83442,0.1272,0.2098,0.10494,1.77095,2.08158,1.12884,0.0674304,0.000273583,0.000273583
2,102.703,1.62775,1.31402,1.08976,0.421,0.2693,0.2649,0.12706,1.70245,1.33798,1.1063,0.0343529,0.00052942,0.00052942
3,152.701,1.62063,1.23555,1.08928,0.45463,0.27862,0.28882,0.13759,1.67655,1.30677,1.11578,0.00125346,0.000763266,0.000763266
4,204.079,1.61632,1.19074,1.07006,0.43854,0.30919,0.30189,0.14841,1.6028,1.13715,1.09134,0.00073404,0.00073404,0.00073404
5,254.656,1.52912,1.09446,1.05347,0.46368,0.30162,0.30365,0.14996,1.59463,1.13082,1.08061,0.000701053,0.000701053,0.000701053
6,321.372,1.53637,1.0999,1.05227,0.46699,0.32791,0.32854,0.16074,1.56829,1.09048,1.0684,0.000668066,0.000668066,0.000668066
7,354.05,1.52294,1.0714,1.04617,0.45889,0.31999,0.3116,0.15476,1.55811,1.10212,1.07747,0.000635079,0.000635079,0.000635079
8,365.604,1.51966,1.05346,1.04379,0.50474,0.32278,0.34082,0.16727,1.55205,1.06856,1.06623,0.000602092,0.000602092,0.000602092
9,377.382,1.48824,1.01366,1.02805,0.50627,0.34825,0.3589,0.17623,1.53898,1.0521,1.05487,0.000569106,0.000569106,0.000569106
10,388.977,1.49375,1.01012,1.0307,0.49456,0.35484,0.36371,0.17505,1.57189,1.06802,1.05439,0.000536119,0.000536119,0.000536119
11,400.491,1.47029,0.99782,1.02102,0.50947,0.36316,0.37559,0.17967,1.55652,1.03977,1.04651,0.000503132,0.000503132,0.000503132
12,412.143,1.47563,0.99389,1.02774,0.53506,0.34789,0.365,0.17957,1.52329,1.02862,1.04844,0.000470145,0.000470145,0.000470145
13,423.711,1.45299,0.97068,1.02106,0.52845,0.35747,0.37966,0.18579,1.49199,0.97814,1.04251,0.000437158,0.000437158,0.000437158
14,435.596,1.42389,0.9538,0.99965,0.52748,0.36837,0.38496,0.18601,1.51667,0.99808,1.03706,0.000404172,0.000404172,0.000404172
15,447.186,1.42381,0.93644,1.00669,0.51166,0.36816,0.38388,0.1895,1.4919,0.97211,1.03086,0.000371185,0.000371185,0.000371185
16,459.309,1.47539,0.97431,1.01591,0.52822,0.36344,0.37654,0.1839,1.50207,0.98837,1.04567,0.000338198,0.000338198,0.000338198
17,470.726,1.44422,0.94015,1.01149,0.53592,0.37522,0.38792,0.18961,1.48693,0.96881,1.02998,0.000305211,0.000305211,0.000305211
18,482.224,1.42575,0.91415,0.99681,0.51438,0.36122,0.37381,0.18481,1.49835,0.97902,1.03341,0.000272224,0.000272224,0.000272224
19,493.643,1.43393,0.90616,0.99799,0.52688,0.37883,0.39463,0.19253,1.49416,0.96235,1.02906,0.000239238,0.000239238,0.000239238
20,505.161,1.43219,0.90103,1.00075,0.52711,0.39599,0.40492,0.19771,1.47842,0.94007,1.02455,0.000206251,0.000206251,0.000206251
21,516.607,1.41222,0.89628,1.00251,0.55005,0.38535,0.40482,0.19856,1.47164,0.93808,1.02332,0.000173264,0.000173264,0.000173264
22,528.126,1.37792,0.86228,0.9854,0.55171,0.3874,0.40449,0.19946,1.46929,0.92945,1.02255,0.000140277,0.000140277,0.000140277
23,539.697,1.39108,0.87569,0.99104,0.54356,0.39074,0.40781,0.20142,1.46502,0.92461,1.02149,0.00010729,0.00010729,0.00010729
24,551.344,1.39908,0.86984,0.98284,0.54874,0.39221,0.4091,0.20258,1.45752,0.91543,1.01923,7.43036e-05,7.43036e-05,7.43036e-05
25,562.936,1.35885,0.85798,0.98223,0.56388,0.38868,0.41415,0.20374,1.45748,0.91245,1.01867,4.13168e-05,4.13168e-05,4.13168e-05
