epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.782,1.67099,1.55732,1.11417,0.08561,0.3952,0.20959,0.10121,1.84181,2.58423,1.13766,0.0674304,0.000273583,0.000273583
2,23.6639,1.59012,1.26779,1.08674,0.41369,0.27792,0.2665,0.12533,1.65117,1.27698,1.09967,0.0343529,0.00052942,0.00052942
3,35.1781,1.56781,1.18884,1.07879,0.43193,0.29591,0.29399,0.14094,1.66515,1.29592,1.08504,0.00125346,0.000763266,0.000763266
4,46.7253,1.5483,1.15054,1.0712,0.45425,0.29432,0.29499,0.14039,1.65545,1.18459,1.10896,0.00073404,0.00073404,0.00073404
5,58.4473,1.53784,1.10866,1.061,0.45062,0.32891,0.3257,0.15334,1.61049,1.13801,1.06689,0.000701053,0.000701053,0.000701053
6,69.9664,1.50371,1.0863,1.05639,0.49211,0.31966,0.3316,0.16112,1.55752,1.09575,1.07023,0.000668066,0.000668066,0.000668066
7,81.4886,1.49078,1.06405,1.049,0.49673,0.32905,0.33948,0.16403,1.56493,1.08297,1.07432,0.000635079,0.000635079,0.000635079
8,93.1732,1.49251,1.04933,1.04116,0.4916,0.35267,0.35393,0.17301,1.55477,1.05671,1.05252,0.000602092,0.000602092,0.000602092
9,104.857,1.465,1.01603,1.03355,0.49937,0.34771,0.35555,0.17288,1.56776,1.05076,1.05922,0.000569106,0.000569106,0.000569106
10,116.527,1.46599,1.00707,1.03078,0.51521,0.36467,0.37323,0.17985,1.57041,1.04983,1.04631,0.000536119,0.000536119,0.000536119
11,128.302,1.43237,0.97123,1.0212,0.5047,0.36907,0.3767,0.18256,1.52342,1.01446,1.04168,0.000503132,0.000503132,0.000503132
12,139.934,1.4097,0.95074,1.01488,0.52448,0.35873,0.37394,0.18104,1.5192,0.99745,1.04425,0.000470145,0.000470145,0.000470145
13,151.609,1.42851,0.9517,1.00927,0.52019,0.36377,0.37309,0.18277,1.52219,1.03412,1.04215,0.000437158,0.000437158,0.000437158
14,163.139,1.39911,0.93573,1.00645,0.52405,0.37111,0.38612,0.18575,1.52198,0.98671,1.03261,0.000404172,0.000404172,0.000404172
15,174.555,1.38529,0.92401,1.00757,0.53365,0.36289,0.38152,0.18345,1.51866,1.00207,1.04475,0.000371185,0.000371185,0.000371185
16,187.189,1.43358,0.95917,1.01599,0.50915,0.35837,0.37207,0.17953,1.52759,1.02048,1.04135,0.000338198,0.000338198,0.000338198
17,198.679,1.42344,0.93034,1.00688,0.539,0.37229,0.38957,0.1856,1.51124,0.98026,1.0309,0.000305211,0.000305211,0.000305211
18,209.983,1.39862,0.90855,0.99717,0.51392,0.37489,0.38622,0.18846,1.49913,0.97591,1.02977,0.000272224,0.000272224,0.000272224
19,221.294,1.39504,0.89739,0.99328,0.53854,0.37356,0.38765,0.18994,1.50119,0.98373,1.02171,0.000239238,0.000239238,0.000239238
20,232.619,1.3896,0.88848,0.99161,0.54616,0.38465,0.39959,0.19467,1.50159,0.95473,1.02649,0.000206251,0.000206251,0.000206251
21,243.877,1.37263,0.87762,0.98844,0.54671,0.3799,0.39787,0.19438,1.48238,0.94398,1.02461,0.000173264,0.000173264,0.000173264
22,255.136,1.36107,0.86125,0.98473,0.54735,0.37964,0.40115,0.1964,1.47949,0.93462,1.02586,0.000140277,0.000140277,0.000140277
23,266.721,1.34043,0.8492,0.98267,0.55919,0.38366,0.4083,0.19988,1.47909,0.92984,1.01959,0.00010729,0.00010729,0.00010729
24,277.997,1.33985,0.83681,0.97436,0.55681,0.38719,0.41021,0.19962,1.47087,0.92326,1.01903,7.43036e-05,7.43036e-05,7.43036e-05
25,289.165,1.3437,0.83768,0.97828,0.56495,0.38771,0.41162,0.20147,1.46884,0.92242,1.01783,4.13168e-05,4.13168e-05,4.13168e-05
