epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.8095,1.19742,1.36175,1.0841,0.83575,0.3527,0.40305,0.23444,1.18931,1.04991,1.06986,0.000273188,0.000273188,0.000273188
2,31.3522,1.16545,1.14629,1.07216,0.835,0.36288,0.42783,0.25337,1.13851,0.98324,1.05711,0.000529041,0.000529041,0.000529041
3,45.7851,1.15108,1.07564,1.05912,0.71602,0.45691,0.46013,0.27865,1.09178,0.9374,1.0558,0.000762903,0.000762903,0.000762903
4,60.0234,1.13819,1.02851,1.06869,0.785,0.47254,0.52224,0.31402,1.1125,0.90628,1.06407,0.00073404,0.00073404,0.00073404
5,74.2528,1.09692,0.95975,1.04602,0.79336,0.47225,0.50988,0.31421,1.05741,0.83975,1.04182,0.000701053,0.000701053,0.000701053
6,88.2539,1.09034,0.94747,1.0471,0.75559,0.49369,0.55316,0.33755,1.06666,0.81442,1.04606,0.000668066,0.000668066,0.000668066
7,102.163,1.08904,0.90302,1.0501,0.82645,0.51988,0.58354,0.36217,1.05221,0.76644,1.04307,0.000635079,0.000635079,0.000635079
8,115.962,1.07256,0.88874,1.03863,0.70746,0.54878,0.5799,0.3532,1.0437,0.76812,1.03876,0.000602092,0.000602092,0.000602092
9,129.663,1.0571,0.84858,1.03056,0.84447,0.51981,0.61371,0.38584,1.0309,0.7312,1.03148,0.000569106,0.000569106,0.000569106
10,143.381,1.03432,0.82144,1.02394,0.76403,0.51966,0.59415,0.36562,1.04424,0.75282,1.04344,0.000536119,0.000536119,0.000536119
11,157.071,1.03158,0.80002,1.01804,0.77587,0.57275,0.63591,0.40055,1.03129,0.74015,1.03975,0.000503132,0.000503132,0.000503132
12,170.86,1.02234,0.78773,1.01763,0.63143,0.57031,0.62081,0.3974,1.00864,0.6977,1.02645,0.000470145,0.000470145,0.000470145
13,184.352,1.01903,0.75958,1.01444,0.75183,0.57571,0.64184,0.40834,1.01285,0.71763,1.02303,0.000437158,0.000437158,0.000437158
14,197.848,0.98928,0.73742,1.01341,0.58014,0.62846,0.64993,0.41558,0.99077,0.67548,1.01665,0.000404172,0.000404172,0.000404172
15,211.415,1.00739,0.73031,1.00534,0.67964,0.63266,0.66687,0.42949,0.99833,0.66145,1.01638,0.000371185,0.000371185,0.000371185
16,225.541,0.92965,0.72428,0.98669,0.68648,0.62243,0.66177,0.42076,1.01031,0.69271,1.02742,0.000338198,0.000338198,0.000338198
17,239.117,0.90904,0.68713,0.9809,0.72113,0.63253,0.67414,0.43455,1.00105,0.66465,1.0251,0.000305211,0.000305211,0.000305211
18,252.331,0.95847,0.69494,0.99596,0.70984,0.61851,0.66411,0.42556,0.99988,0.67269,1.02069,0.000272224,0.000272224,0.000272224
19,265.624,0.90995,0.65612,0.97627,0.71885,0.61376,0.67382,0.43498,0.9865,0.64821,1.01715,0.000239238,0.000239238,0.000239238
20,278.916,0.91512,0.65286,0.98802,0.72085,0.65678,0.71033,0.45937,0.99024,0.64022,1.0147,0.000206251,0.000206251,0.000206251
21,292.389,0.8963,0.64243,0.97273,0.72072,0.6709,0.71161,0.46495,0.98169,0.63326,1.01159,0.000173264,0.000173264,0.000173264
22,305.63,0.87398,0.61572,0.97173,0.73017,0.66365,0.7091,0.46496,0.97519,0.62766,1.01077,0.000140277,0.000140277,0.000140277
23,318.899,0.88021,0.61732,0.97008,0.73048,0.65952,0.71305,0.46812,0.96512,0.61079,1.0082,0.00010729,0.00010729,0.00010729
24,332.084,0.86918,0.58961,0.96774,0.73151,0.65543,0.72161,0.47871,0.95932,0.60923,1.00344,7.43036e-05,7.43036e-05,7.43036e-05
25,345.363,0.8703,0.60462,0.96294,0.72546,0.66684,0.72302,0.47994,0.9573,0.60313,1.00428,4.13168e-05,4.13168e-05,4.13168e-05
