epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.3003,1.21926,1.38037,1.07308,0.8159,0.35912,0.39523,0.24002,1.11752,1.0365,1.04332,0.000271496,0.000271496,0.000271496
2,28.2849,1.17299,1.15114,1.06122,0.78126,0.37939,0.42425,0.25603,1.11682,1.04213,1.06927,0.000527416,0.000527416,0.000527416
3,41.3488,1.17698,1.10511,1.07904,0.77587,0.43617,0.47749,0.28256,1.15296,0.95698,1.07411,0.000761345,0.000761345,0.000761345
4,54.3061,1.15666,1.07136,1.06755,0.81673,0.42315,0.48232,0.28587,1.11381,0.90331,1.07046,0.00073404,0.00073404,0.00073404
5,67.1011,1.13706,1.01399,1.06271,0.7767,0.4519,0.49256,0.29894,1.09735,0.94494,1.06256,0.000701053,0.000701053,0.000701053
6,79.8412,1.11366,0.96053,1.05165,0.64972,0.47242,0.52555,0.31649,1.1061,0.88485,1.05922,0.000668066,0.000668066,0.000668066
7,92.3686,1.10066,0.94505,1.03848,0.84151,0.47524,0.56554,0.34789,1.05932,0.80039,1.05122,0.000635079,0.000635079,0.000635079
8,105.097,1.07578,0.90114,1.04239,0.57039,0.54945,0.56674,0.34949,1.05738,0.82415,1.0375,0.000602092,0.000602092,0.000602092
9,117.622,1.06216,0.86678,1.03988,0.82733,0.49976,0.59602,0.36253,1.08039,0.77468,1.04488,0.000569106,0.000569106,0.000569106
10,130.005,1.05562,0.86769,1.03917,0.83766,0.48116,0.57243,0.35373,1.05213,0.78437,1.04406,0.000536119,0.000536119,0.000536119
11,142.429,1.05419,0.83734,1.043,0.74998,0.5202,0.60665,0.37806,1.03642,0.75275,1.04157,0.000503132,0.000503132,0.000503132
12,154.845,1.02905,0.83424,1.01679,0.58468,0.60654,0.61509,0.39007,1.03084,0.72554,1.03206,0.000470145,0.000470145,0.000470145
13,167.054,0.99734,0.76764,1.00943,0.67323,0.58422,0.61908,0.39118,1.02274,0.72124,1.02437,0.000437158,0.000437158,0.000437158
14,179.273,1.02993,0.80597,1.01606,0.61216,0.62601,0.64475,0.39831,1.05475,0.71602,1.04356,0.000404172,0.000404172,0.000404172
15,191.448,0.98031,0.75582,1.00638,0.59983,0.59412,0.60406,0.37741,1.03076,0.72693,1.03132,0.000371185,0.000371185,0.000371185
16,204.129,0.97183,0.77405,1.00222,0.59708,0.58422,0.61311,0.38219,1.05134,0.72529,1.03956,0.000338198,0.000338198,0.000338198
17,216.25,0.93989,0.73399,0.98977,0.63634,0.61819,0.64858,0.40766,1.02505,0.70362,1.02386,0.000305211,0.000305211,0.000305211
18,228.364,0.92889,0.71428,0.98574,0.69669,0.6202,0.66229,0.42466,1.00138,0.67792,1.02396,0.000272224,0.000272224,0.000272224
19,240.433,0.96581,0.71519,0.9927,0.68588,0.65003,0.68121,0.43157,1.00672,0.67764,1.0295,0.000239238,0.000239238,0.000239238
20,252.442,0.95369,0.69809,1.00263,0.6929,0.65393,0.69078,0.44931,0.99292,0.66787,1.01777,0.000206251,0.000206251,0.000206251
21,264.449,0.92175,0.6731,0.99139,0.67233,0.66955,0.69514,0.45254,0.99072,0.66173,1.01816,0.000173264,0.000173264,0.000173264
22,276.563,0.93421,0.67475,0.98855,0.66522,0.66115,0.68491,0.44204,0.98178,0.65699,1.01322,0.000140277,0.000140277,0.000140277
23,288.427,0.88738,0.65484,0.97391,0.67031,0.66809,0.69742,0.45125,0.9764,0.64829,1.01179,0.00010729,0.00010729,0.00010729
24,300.352,0.87884,0.64877,0.97062,0.63042,0.68075,0.69159,0.44671,0.97766,0.64422,1.01201,7.43036e-05,7.43036e-05,7.43036e-05
25,312.256,0.88918,0.64234,0.96957,0.68216,0.6809,0.70421,0.45951,0.96979,0.63529,1.01006,4.13168e-05,4.13168e-05,4.13168e-05
