epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.1543,1.20396,1.44173,1.06792,0.84359,0.36873,0.44823,0.27109,1.12155,0.98205,1.04286,0.000273522,0.000273522,0.000273522
2,32.0216,1.19191,1.16916,1.07297,0.7627,0.47365,0.51094,0.30812,1.12347,0.94191,1.04913,0.000529362,0.000529362,0.000529362
3,47.0741,1.17403,1.0723,1.06017,0.78165,0.47741,0.52343,0.31092,1.12374,0.94875,1.06934,0.00076321,0.00076321,0.00076321
4,61.643,1.15262,1.01786,1.05631,0.81031,0.45025,0.53261,0.31791,1.16129,0.93528,1.08454,0.00073404,0.00073404,0.00073404
5,76.1649,1.15188,0.96864,1.05265,0.6835,0.50257,0.57841,0.36132,1.07729,0.82937,1.04441,0.000701053,0.000701053,0.000701053
6,90.4486,1.12927,0.90974,1.04608,0.69121,0.5308,0.576,0.35778,1.06155,0.80901,1.04664,0.000668066,0.000668066,0.000668066
7,104.868,1.1023,0.89383,1.04198,0.81214,0.50465,0.5943,0.37223,1.06323,0.79635,1.04204,0.000635079,0.000635079,0.000635079
8,118.955,1.09867,0.86551,1.03335,0.59322,0.56678,0.59691,0.36769,1.09339,0.7783,1.06937,0.000602092,0.000602092,0.000602092
9,133.125,1.08664,0.85258,1.03425,0.69596,0.56255,0.61705,0.38025,1.07543,0.7671,1.05073,0.000569106,0.000569106,0.000569106
10,147.188,1.07529,0.8034,1.01842,0.76568,0.5523,0.63814,0.40171,1.04938,0.75441,1.03888,0.000536119,0.000536119,0.000536119
11,161.239,1.07242,0.79163,1.02296,0.64643,0.63127,0.64686,0.4064,1.03317,0.71987,1.0334,0.000503132,0.000503132,0.000503132
12,175.294,1.03877,0.76576,1.01249,0.75055,0.59535,0.67441,0.42892,1.0258,0.70436,1.0347,0.000470145,0.000470145,0.000470145
13,189.208,1.04131,0.74607,1.01821,0.70529,0.61869,0.67341,0.42716,1.02382,0.68944,1.03211,0.000437158,0.000437158,0.000437158
14,203.08,1.04272,0.74859,1.01715,0.71746,0.65647,0.69615,0.44752,1.01045,0.6703,1.0234,0.000404172,0.000404172,0.000404172
15,216.959,1.01254,0.71215,1.00121,0.75449,0.64795,0.70253,0.45352,0.99461,0.6671,1.01942,0.000371185,0.000371185,0.000371185
16,231.356,0.9781,0.71516,0.99938,0.77049,0.63563,0.69683,0.44208,1.02023,0.69242,1.02508,0.000338198,0.000338198,0.000338198
17,245.208,0.977,0.6893,0.99932,0.73617,0.64299,0.70119,0.4491,1.00707,0.66721,1.0273,0.000305211,0.000305211,0.000305211
18,258.917,0.99966,0.68374,0.99152,0.73461,0.65293,0.70782,0.45717,1.00124,0.66246,1.02351,0.000272224,0.000272224,0.000272224
19,272.538,0.94989,0.64937,0.98432,0.73289,0.67879,0.72334,0.46915,0.98989,0.64277,1.01619,0.000239238,0.000239238,0.000239238
20,286.117,0.96181,0.65117,0.99303,0.75157,0.66962,0.72507,0.47172,0.99286,0.65187,1.02094,0.000206251,0.000206251,0.000206251
21,299.722,0.94572,0.64205,0.98929,0.78411,0.66364,0.72315,0.47205,0.99324,0.63981,1.01721,0.000173264,0.000173264,0.000173264
22,313.477,0.91808,0.6188,0.97415,0.77502,0.68056,0.73667,0.48129,0.98691,0.62444,1.01643,0.000140277,0.000140277,0.000140277
23,327.049,0.9296,0.61209,0.98079,0.78285,0.68789,0.74091,0.48371,0.97255,0.61717,1.01182,0.00010729,0.00010729,0.00010729
24,340.697,0.91275,0.59982,0.96489,0.76794,0.68956,0.74125,0.4857,0.97307,0.61381,1.00872,7.43036e-05,7.43036e-05,7.43036e-05
25,354.319,0.90559,0.60297,0.96551,0.78414,0.68705,0.75146,0.49581,0.963,0.60456,1.00811,4.13168e-05,4.13168e-05,4.13168e-05
