epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.6643,1.1833,1.27963,1.0657,0.80767,0.45216,0.49709,0.298,1.19519,0.93816,1.06865,0.000275497,0.000275497,0.000275497
2,40.2393,1.13,0.99967,1.04694,0.65622,0.51808,0.56721,0.35155,1.07763,0.83697,1.03375,0.000531259,0.000531259,0.000531259
3,59.4284,1.13606,0.93871,1.05294,0.6685,0.57296,0.6013,0.37679,1.07298,0.77121,1.03111,0.000765029,0.000765029,0.000765029
4,78.6583,1.09069,0.87198,1.03621,0.60843,0.59367,0.61186,0.38604,1.04303,0.76323,1.03773,0.00073404,0.00073404,0.00073404
5,97.3571,1.08271,0.83061,1.03762,0.66907,0.62592,0.66483,0.42191,1.03525,0.74257,1.02879,0.000701053,0.000701053,0.000701053
6,116.003,1.06232,0.79244,1.02579,0.68276,0.61485,0.66077,0.41897,1.02943,0.69437,1.02473,0.000668066,0.000668066,0.000668066
7,134.518,1.04501,0.75372,1.02105,0.76193,0.63305,0.71234,0.45469,1.02493,0.67827,1.02589,0.000635079,0.000635079,0.000635079
8,152.992,1.04193,0.73514,1.01952,0.73666,0.64288,0.69865,0.45346,0.99178,0.65268,1.01195,0.000602092,0.000602092,0.000602092
9,171.741,1.02778,0.71423,1.01317,0.7681,0.64395,0.70813,0.45761,1.0071,0.65429,1.02294,0.000569106,0.000569106,0.000569106
10,190.34,1.02342,0.6991,1.014,0.75091,0.66631,0.7304,0.47846,0.98177,0.64211,1.00603,0.000536119,0.000536119,0.000536119
11,208.872,1.00962,0.68213,1.00898,0.79831,0.65907,0.73694,0.48289,0.97429,0.62517,1.00866,0.000503132,0.000503132,0.000503132
12,227.31,1.00522,0.67128,1.00769,0.74908,0.66665,0.74097,0.47888,0.99545,0.62717,1.0161,0.000470145,0.000470145,0.000470145
13,245.725,0.98309,0.65355,0.99952,0.78497,0.68139,0.7598,0.50241,0.96941,0.60628,1.00572,0.000437158,0.000437158,0.000437158
14,264.478,0.98238,0.64811,0.99704,0.77134,0.69718,0.7507,0.49742,0.95997,0.60102,1.00552,0.000404172,0.000404172,0.000404172
15,282.86,0.97757,0.63326,0.9946,0.77291,0.71612,0.77442,0.51418,0.95499,0.58075,0.99888,0.000371185,0.000371185,0.000371185
16,302.32,0.94213,0.61855,0.98893,0.81469,0.68264,0.76414,0.50796,0.96236,0.59005,1.00185,0.000338198,0.000338198,0.000338198
17,320.396,0.92459,0.58789,0.98103,0.77816,0.71821,0.77345,0.51836,0.95481,0.58089,0.99694,0.000305211,0.000305211,0.000305211
18,338.63,0.91919,0.57766,0.97564,0.77753,0.70913,0.76614,0.51496,0.94771,0.58066,0.99827,0.000272224,0.000272224,0.000272224
19,356.668,0.905,0.5689,0.97136,0.77735,0.71741,0.77691,0.52077,0.94887,0.56642,0.99524,0.000239238,0.000239238,0.000239238
20,374.749,0.89592,0.55497,0.96704,0.82933,0.71103,0.79567,0.5355,0.9335,0.55725,0.99244,0.000206251,0.000206251,0.000206251
21,392.714,0.88662,0.54672,0.96436,0.80344,0.71885,0.78474,0.52664,0.93978,0.55919,0.9928,0.000173264,0.000173264,0.000173264
22,410.557,0.87186,0.53342,0.96298,0.82513,0.71766,0.80414,0.54639,0.92653,0.54032,0.98735,0.000140277,0.000140277,0.000140277
23,428.65,0.87466,0.53009,0.96391,0.80573,0.73838,0.80256,0.54642,0.92141,0.53886,0.98732,0.00010729,0.00010729,0.00010729
24,446.615,0.86018,0.51937,0.95687,0.81484,0.74377,0.80543,0.55161,0.91714,0.53421,0.98629,7.43036e-05,7.43036e-05,7.43036e-05
25,464.586,0.8572,0.51287,0.9528,0.8184,0.73269,0.80211,0.54892,0.91638,0.53489,0.98389,4.13168e-05,4.13168e-05,4.13168e-05
