epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.6741,1.32954,1.59344,1.11544,0.78376,0.37842,0.38318,0.22922,1.14312,1.10319,1.05537,0.000273188,0.000273188,0.000273188
2,31.2114,1.30523,1.31001,1.11536,0.82212,0.43126,0.49021,0.30003,1.10491,0.92972,1.0548,0.000529041,0.000529041,0.000529041
3,45.843,1.28722,1.23182,1.10999,0.6759,0.44538,0.49286,0.29559,1.13764,0.96325,1.0825,0.000762903,0.000762903,0.000762903
4,60.1964,1.27978,1.11787,1.10874,0.82935,0.48323,0.54151,0.32609,1.10699,0.87625,1.06087,0.00073404,0.00073404,0.00073404
5,74.5708,1.26155,1.09341,1.09751,0.78956,0.46993,0.52304,0.31771,1.09666,0.87856,1.05325,0.000701053,0.000701053,0.000701053
6,88.6053,1.21316,1.02736,1.0985,0.82787,0.51145,0.58595,0.36528,1.10655,0.83365,1.05916,0.000668066,0.000668066,0.000668066
7,102.465,1.20343,1.00488,1.08477,0.72116,0.55302,0.59706,0.37137,1.07557,0.77793,1.0493,0.000635079,0.000635079,0.000635079
8,116.419,1.20245,0.96224,1.07687,0.74291,0.54097,0.60216,0.37771,1.06981,0.77959,1.04639,0.000602092,0.000602092,0.000602092
9,130.286,1.16745,0.92896,1.06813,0.69368,0.61563,0.65174,0.4182,1.03917,0.73813,1.03348,0.000569106,0.000569106,0.000569106
10,143.975,1.21402,0.92657,1.09265,0.74302,0.57076,0.64293,0.40868,1.05408,0.75318,1.0394,0.000536119,0.000536119,0.000536119
11,157.696,1.17803,0.8976,1.06468,0.73988,0.60702,0.67527,0.4279,1.04045,0.72544,1.03389,0.000503132,0.000503132,0.000503132
12,171.476,1.16537,0.86688,1.05683,0.80681,0.57391,0.67053,0.42147,1.04906,0.7169,1.04142,0.000470145,0.000470145,0.000470145
13,185.33,1.14208,0.86766,1.053,0.81767,0.54879,0.63537,0.39938,1.04252,0.73577,1.03336,0.000437158,0.000437158,0.000437158
14,198.845,1.12422,0.83765,1.04893,0.78386,0.60832,0.67518,0.43443,1.01849,0.67972,1.02412,0.000404172,0.000404172,0.000404172
15,212.697,1.11064,0.79381,1.04093,0.7704,0.63076,0.71503,0.46392,1.01231,0.68105,1.02447,0.000371185,0.000371185,0.000371185
16,226.944,1.11599,0.86042,1.04862,0.71487,0.63067,0.6803,0.4387,1.02824,0.71975,1.03081,0.000338198,0.000338198,0.000338198
17,240.379,1.08364,0.78227,1.03933,0.71283,0.67148,0.70624,0.45284,1.02632,0.66926,1.02587,0.000305211,0.000305211,0.000305211
18,253.978,1.07911,0.77731,1.03524,0.64712,0.70718,0.70164,0.4476,1.02994,0.67838,1.02901,0.000272224,0.000272224,0.000272224
19,267.389,1.0511,0.75107,1.02956,0.77266,0.64563,0.72215,0.46761,1.01372,0.65978,1.01853,0.000239238,0.000239238,0.000239238
20,280.78,1.03961,0.72184,1.01596,0.7302,0.67238,0.71306,0.46474,1.0063,0.64556,1.01518,0.000206251,0.000206251,0.000206251
21,294.126,1.03373,0.71994,1.01808,0.74392,0.6774,0.72462,0.46734,1.01254,0.6463,1.02396,0.000173264,0.000173264,0.000173264
22,307.58,1.04145,0.71199,1.02537,0.74886,0.66449,0.72509,0.47113,1.00246,0.6332,1.01778,0.000140277,0.000140277,0.000140277
23,321.043,1.03337,0.6858,1.01814,0.75632,0.66993,0.72755,0.47321,1.00198,0.62637,1.02063,0.00010729,0.00010729,0.00010729
24,334.433,1.01673,0.67607,1.01139,0.79245,0.68291,0.7444,0.49075,0.98826,0.61815,1.01203,7.43036e-05,7.43036e-05,7.43036e-05
25,347.882,0.97114,0.66426,0.99092,0.78166,0.68553,0.74581,0.49341,0.98466,0.60979,1.01189,4.13168e-05,4.13168e-05,4.13168e-05
