epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,166.718,1.65144,1.46812,1.10303,0.45274,0.28767,0.29028,0.14063,1.61675,1.2121,1.06602,0.067027,0.000276973,0.000276973
2,346.86,1.57159,1.12403,1.06928,0.47667,0.34076,0.34398,0.16723,1.58639,1.10104,1.05552,0.0339493,0.000532675,0.000532675
3,385.179,1.55946,1.08077,1.05879,0.51125,0.36513,0.37627,0.17851,1.54075,1.04283,1.0357,0.000849721,0.000766387,0.000766387
4,423.106,1.51029,1.02006,1.04608,0.5068,0.37071,0.37479,0.18061,1.52871,1.00122,1.03081,0.00073404,0.00073404,0.00073404
5,460.897,1.5006,0.99828,1.03945,0.51811,0.37923,0.39006,0.18916,1.49058,0.98672,1.02585,0.000701053,0.000701053,0.000701053
6,498.79,1.48,0.9757,1.03105,0.52076,0.3914,0.4077,0.19593,1.4922,0.95007,1.01981,0.000668066,0.000668066,0.000668066
7,536.917,1.4625,0.9491,1.02539,0.56478,0.40577,0.42328,0.20575,1.46026,0.93865,1.01752,0.000635079,0.000635079,0.000635079
8,574.877,1.47539,0.95649,1.02887,0.56966,0.40213,0.43067,0.20787,1.47357,0.92326,1.01887,0.000602092,0.000602092,0.000602092
9,612.769,1.44024,0.92525,1.0158,0.57893,0.41203,0.4414,0.2135,1.44005,0.90518,1.00653,0.000569106,0.000569106,0.000569106
10,650.787,1.44398,0.91972,1.0168,0.57827,0.41454,0.4434,0.21727,1.43038,0.88693,1.00733,0.000536119,0.000536119,0.000536119
11,688.61,1.43892,0.91836,1.01399,0.59212,0.419,0.45156,0.22005,1.42122,0.88055,1.00545,0.000503132,0.000503132,0.000503132
12,726.585,1.43168,0.90769,1.01521,0.59265,0.4214,0.45885,0.22208,1.42296,0.87723,0.99843,0.000470145,0.000470145,0.000470145
13,764.6,1.39919,0.88133,1.00301,0.57419,0.43511,0.46231,0.22565,1.41211,0.85851,0.99394,0.000437158,0.000437158,0.000437158
14,802.486,1.41081,0.87938,1.00396,0.60958,0.4256,0.46457,0.22734,1.40631,0.85579,0.99244,0.000404172,0.000404172,0.000404172
15,840.498,1.40467,0.87631,1.00424,0.58624,0.43103,0.4629,0.22643,1.40476,0.84912,0.9919,0.000371185,0.000371185,0.000371185
16,877.977,1.41646,0.86612,0.99906,0.58242,0.44003,0.46793,0.2293,1.39819,0.84863,0.99306,0.000338198,0.000338198,0.000338198
17,914.731,1.41426,0.85516,1.0008,0.59842,0.43899,0.47185,0.23062,1.40368,0.84609,0.99199,0.000305211,0.000305211,0.000305211
18,951.435,1.40977,0.84726,0.99551,0.59787,0.43789,0.47205,0.23061,1.3986,0.8384,0.98894,0.000272224,0.000272224,0.000272224
19,988.212,1.40573,0.84548,0.99257,0.61217,0.44124,0.4793,0.23372,1.39457,0.83231,0.98424,0.000239238,0.000239238,0.000239238
20,1024.87,1.39994,0.8318,0.99042,0.60545,0.44437,0.48002,0.23619,1.38801,0.82778,0.98273,0.000206251,0.000206251,0.000206251
21,1061.62,1.38998,0.82257,0.98632,0.61599,0.44533,0.48374,0.23688,1.37992,0.81824,0.98237,0.000173264,0.000173264,0.000173264
22,1098.52,1.38365,0.81911,0.98543,0.6256,0.44275,0.48369,0.2382,1.37666,0.81695,0.98341,0.000140277,0.000140277,0.000140277
23,1135.22,1.37117,0.80335,0.98169,0.62334,0.44917,0.48853,0.2407,1.37506,0.80688,0.97964,0.00010729,0.00010729,0.00010729
24,1171.92,1.37547,0.80363,0.9803,0.61359,0.45412,0.49065,0.24212,1.36909,0.80401,0.97744,7.43036e-05,7.43036e-05,7.43036e-05
25,1208.6,1.36162,0.79308,0.9779,0.61698,0.45031,0.49258,0.2445,1.36536,0.79977,0.97733,4.13168e-05,4.13168e-05,4.13168e-05
