epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,161.339,1.636,1.58374,1.1115,0.53834,0.19666,0.18492,0.09702,1.56683,1.25773,1.0708,0.067027,0.000276973,0.000276973
2,336.634,1.55868,1.20681,1.08008,0.54639,0.23787,0.20741,0.10713,1.58129,1.18865,1.06857,0.0339493,0.000532675,0.000532675
3,389.656,1.54786,1.15368,1.0686,0.5637,0.23487,0.23883,0.12127,1.56012,1.15879,1.06711,0.000849721,0.000766387,0.000766387
4,427.638,1.50531,1.09237,1.05862,0.51877,0.26465,0.26565,0.13879,1.52461,1.07516,1.03594,0.00073404,0.00073404,0.00073404
5,465.531,1.49044,1.06451,1.04825,0.37142,0.30688,0.2726,0.14134,1.49903,1.04557,1.03413,0.000701053,0.000701053,0.000701053
6,503.51,1.46967,1.03615,1.04028,0.37879,0.32524,0.29411,0.15429,1.48824,1.00105,1.03148,0.000668066,0.000668066,0.000668066
7,541.711,1.45306,1.01057,1.03409,0.4565,0.29826,0.30271,0.16098,1.45741,0.9849,1.02257,0.000635079,0.000635079,0.000635079
8,579.648,1.46732,1.02017,1.03864,0.44751,0.30696,0.30504,0.16368,1.45249,0.97886,1.01724,0.000602092,0.000602092,0.000602092
9,617.561,1.43012,0.98639,1.02557,0.54229,0.31446,0.32114,0.17099,1.42967,0.9524,1.01473,0.000569106,0.000569106,0.000569106
10,655.575,1.43624,0.975,1.02526,0.46786,0.32681,0.33361,0.18023,1.4266,0.94336,1.01282,0.000536119,0.000536119,0.000536119
11,693.598,1.43111,0.97349,1.02325,0.53922,0.33208,0.33969,0.18293,1.41936,0.94924,1.01353,0.000503132,0.000503132,0.000503132
12,731.799,1.41901,0.96355,1.02277,0.4309,0.35245,0.34018,0.17928,1.41542,0.92195,1.00494,0.000470145,0.000470145,0.000470145
13,769.501,1.39128,0.93858,1.01096,0.47973,0.34797,0.33814,0.18231,1.41235,0.91758,1.00818,0.000437158,0.000437158,0.000437158
14,807.283,1.40076,0.92857,1.01286,0.50143,0.34213,0.36292,0.19871,1.40624,0.89721,1.00276,0.000404172,0.000404172,0.000404172
15,845.358,1.39406,0.92356,1.01208,0.51392,0.35875,0.3647,0.19644,1.40695,0.89262,1.00376,0.000371185,0.000371185,0.000371185
16,882.442,1.40869,0.9098,1.00688,0.48975,0.3489,0.35963,0.19594,1.39974,0.89262,0.99815,0.000338198,0.000338198,0.000338198
17,919.023,1.40516,0.89054,1.00665,0.46549,0.36231,0.36125,0.19742,1.3909,0.88412,0.99768,0.000305211,0.000305211,0.000305211
18,955.706,1.3972,0.88691,0.99983,0.47538,0.36959,0.36766,0.20175,1.39011,0.87601,0.99478,0.000272224,0.000272224,0.000272224
19,992.355,1.39576,0.88362,0.99965,0.48271,0.36713,0.37256,0.20387,1.39006,0.87278,0.99416,0.000239238,0.000239238,0.000239238
20,1028.98,1.38564,0.86825,0.99577,0.50055,0.3524,0.37702,0.20394,1.3752,0.86695,0.9867,0.000206251,0.000206251,0.000206251
21,1065.64,1.38044,0.85651,0.99267,0.51755,0.3623,0.37966,0.20631,1.37241,0.8564,0.98982,0.000173264,0.000173264,0.000173264
22,1102.32,1.37349,0.85263,0.99202,0.50038,0.37009,0.38633,0.21198,1.37145,0.85434,0.9885,0.000140277,0.000140277,0.000140277
23,1139.02,1.3624,0.84003,0.98828,0.52106,0.36503,0.38512,0.21117,1.36656,0.84787,0.98448,0.00010729,0.00010729,0.00010729
24,1175.58,1.36306,0.83681,0.98538,0.51642,0.36895,0.39186,0.2161,1.35765,0.83703,0.98433,7.43036e-05,7.43036e-05,7.43036e-05
25,1212.15,1.35088,0.82675,0.98472,0.51781,0.36802,0.39403,0.21783,1.35697,0.83652,0.98371,4.13168e-05,4.13168e-05,4.13168e-05
