epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.5131,1.64893,1.51913,1.10741,0.62522,0.15699,0.22614,0.11037,1.75759,1.78186,1.12395,0.0673575,0.000274196,0.000274196
2,26.5171,1.56475,1.23388,1.07647,0.43963,0.28534,0.28391,0.13727,1.62268,1.20832,1.08122,0.03428,0.000530009,0.000530009
3,39.4725,1.54956,1.16485,1.0701,0.45007,0.28735,0.28347,0.13949,1.66048,1.23668,1.10817,0.0011805,0.00076383,0.00076383
4,52.3334,1.52746,1.10758,1.06292,0.45846,0.30963,0.31098,0.15312,1.57771,1.15995,1.0636,0.00073404,0.00073404,0.00073404
5,65.2607,1.51392,1.09735,1.06169,0.48077,0.31923,0.32497,0.15911,1.57091,1.1111,1.07288,0.000701053,0.000701053,0.000701053
6,78.0235,1.48447,1.06586,1.04893,0.47382,0.32538,0.33224,0.16042,1.58113,1.1002,1.06219,0.000668066,0.000668066,0.000668066
7,90.7425,1.49314,1.04025,1.04228,0.50446,0.34617,0.35808,0.17202,1.55554,1.0516,1.05632,0.000635079,0.000635079,0.000635079
8,103.524,1.45642,1.00735,1.0302,0.49122,0.33796,0.35273,0.16737,1.56451,1.07749,1.05475,0.000602092,0.000602092,0.000602092
9,116.243,1.44542,0.99202,1.02926,0.51031,0.35007,0.35724,0.17353,1.51938,1.02803,1.05609,0.000569106,0.000569106,0.000569106
10,129.13,1.43731,0.98241,1.01998,0.49648,0.35733,0.35874,0.1751,1.51726,1.03532,1.04461,0.000536119,0.000536119,0.000536119
11,141.897,1.42577,0.96253,1.02027,0.51051,0.35892,0.37206,0.1799,1.5212,0.99513,1.04581,0.000503132,0.000503132,0.000503132
12,154.587,1.39282,0.94502,1.00636,0.5179,0.37371,0.38527,0.18434,1.50437,0.993,1.02916,0.000470145,0.000470145,0.000470145
13,167.232,1.41252,0.94055,1.00747,0.51317,0.36305,0.37826,0.18463,1.50869,0.97119,1.03331,0.000437158,0.000437158,0.000437158
14,179.82,1.39247,0.92903,1.00455,0.54814,0.37639,0.39423,0.18919,1.49565,0.96502,1.03216,0.000404172,0.000404172,0.000404172
15,192.474,1.38407,0.91236,1.00399,0.53658,0.36969,0.38505,0.18825,1.49384,0.96473,1.02687,0.000371185,0.000371185,0.000371185
16,206.109,1.42337,0.94551,1.01143,0.52749,0.37368,0.38574,0.18729,1.50155,0.98415,1.03592,0.000338198,0.000338198,0.000338198
17,218.687,1.40601,0.90993,1.0019,0.53746,0.37773,0.39566,0.18764,1.50868,0.95999,1.03043,0.000305211,0.000305211,0.000305211
18,231.06,1.39363,0.8888,0.9965,0.55264,0.37263,0.39838,0.1909,1.48544,0.9583,1.02279,0.000272224,0.000272224,0.000272224
19,243.308,1.38561,0.88552,0.99687,0.53271,0.38961,0.4024,0.19317,1.47944,0.93861,1.02208,0.000239238,0.000239238,0.000239238
20,255.626,1.36978,0.86625,0.98839,0.54843,0.38262,0.40669,0.19777,1.47509,0.93381,1.02374,0.000206251,0.000206251,0.000206251
21,267.903,1.37292,0.86188,0.98714,0.55545,0.39192,0.41163,0.19941,1.46395,0.92042,1.01785,0.000173264,0.000173264,0.000173264
22,280.399,1.34884,0.84204,0.98288,0.5577,0.39208,0.41742,0.20228,1.46676,0.91951,1.01828,0.000140277,0.000140277,0.000140277
23,292.652,1.33967,0.83034,0.97886,0.56495,0.39305,0.41831,0.20408,1.45285,0.91236,1.01286,0.00010729,0.00010729,0.00010729
24,304.951,1.33116,0.82277,0.97325,0.55815,0.39745,0.42044,0.20449,1.44796,0.9005,1.01174,7.43036e-05,7.43036e-05,7.43036e-05
25,317.162,1.32642,0.81719,0.97095,0.56278,0.39837,0.4221,0.20455,1.44366,0.89679,1.00957,4.13168e-05,4.13168e-05,4.13168e-05
