epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.9043,1.74107,1.62851,1.13077,0.05255,0.28485,0.14066,0.07078,1.98241,2.6752,1.17047,0.0674953,0.000273039,0.000273039
2,95.0708,1.63587,1.32541,1.08656,0.46074,0.24867,0.25987,0.12502,1.70911,1.4645,1.11223,0.0344178,0.000528898,0.000528898
3,142.961,1.60439,1.22999,1.09078,0.43598,0.27967,0.28011,0.13634,1.62382,1.26927,1.09899,0.00131832,0.000762765,0.000762765
4,191.322,1.57242,1.16653,1.07858,0.46157,0.30167,0.29885,0.14393,1.60837,1.18938,1.08837,0.00073404,0.00073404,0.00073404
5,240.185,1.55448,1.13298,1.07306,0.43624,0.29614,0.29069,0.13948,1.67005,1.2588,1.09603,0.000701053,0.000701053,0.000701053
6,287.962,1.58544,1.13511,1.06959,0.46391,0.3284,0.32431,0.15424,1.62265,1.15398,1.07707,0.000668066,0.000668066,0.000668066
7,348.99,1.48277,1.046,1.0465,0.5016,0.3296,0.33882,0.16482,1.55689,1.09322,1.05796,0.000635079,0.000635079,0.000635079
8,359.857,1.51647,1.06751,1.05539,0.47907,0.34211,0.34262,0.16471,1.54398,1.08041,1.06289,0.000602092,0.000602092,0.000602092
9,370.908,1.51501,1.04012,1.03347,0.4871,0.3456,0.34898,0.16909,1.54028,1.06697,1.05271,0.000569106,0.000569106,0.000569106
10,381.998,1.48304,1.0202,1.03806,0.49114,0.35456,0.35876,0.17263,1.53034,1.03778,1.04432,0.000536119,0.000536119,0.000536119
11,392.993,1.48104,1.02186,1.03796,0.50864,0.35107,0.36194,0.17668,1.52604,1.02959,1.04522,0.000503132,0.000503132,0.000503132
12,404.054,1.45509,0.9747,1.02831,0.51574,0.35941,0.37196,0.1801,1.51939,1.01487,1.04665,0.000470145,0.000470145,0.000470145
13,415.156,1.46879,0.97621,1.02671,0.51229,0.36342,0.37294,0.17781,1.51829,1.00288,1.02959,0.000437158,0.000437158,0.000437158
14,426.239,1.4347,0.96332,1.02856,0.53198,0.36875,0.37727,0.18014,1.52024,1.01309,1.04135,0.000404172,0.000404172,0.000404172
15,437.239,1.41709,0.94731,1.00667,0.53487,0.36439,0.38001,0.18382,1.50241,0.97944,1.03229,0.000371185,0.000371185,0.000371185
16,448.766,1.50214,0.9891,1.0335,0.51452,0.3475,0.36132,0.17653,1.51472,1.01017,1.04032,0.000338198,0.000338198,0.000338198
17,459.69,1.49725,0.96538,1.03018,0.52589,0.36112,0.37283,0.18259,1.50428,0.98324,1.03564,0.000305211,0.000305211,0.000305211
18,470.466,1.43431,0.9319,1.0047,0.51113,0.35598,0.37075,0.17729,1.50609,0.9818,1.03162,0.000272224,0.000272224,0.000272224
19,481.315,1.39991,0.89836,0.99105,0.51666,0.36935,0.38211,0.18418,1.49465,0.97701,1.02816,0.000239238,0.000239238,0.000239238
20,492.145,1.43185,0.90793,1.01609,0.52578,0.37181,0.38553,0.18553,1.4891,0.96768,1.02804,0.000206251,0.000206251,0.000206251
21,502.999,1.40153,0.89019,0.99328,0.53931,0.37854,0.39432,0.19201,1.47957,0.95192,1.02447,0.000173264,0.000173264,0.000173264
22,513.835,1.40202,0.88084,1.00122,0.54415,0.38051,0.39698,0.19455,1.47306,0.94132,1.02481,0.000140277,0.000140277,0.000140277
23,524.783,1.38063,0.86361,0.9893,0.54448,0.38176,0.39719,0.19419,1.46467,0.9331,1.02088,0.00010729,0.00010729,0.00010729
24,535.632,1.37526,0.85433,0.99056,0.54943,0.38613,0.40185,0.19712,1.4597,0.92852,1.01947,7.43036e-05,7.43036e-05,7.43036e-05
25,546.611,1.36003,0.84953,0.9897,0.56114,0.38677,0.40412,0.19807,1.45347,0.92591,1.01642,4.13168e-05,4.13168e-05,4.13168e-05
