epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.3284,1.67216,1.56663,1.10854,0.14602,0.26657,0.20795,0.11033,1.84335,2.65056,1.12776,0.0674953,0.000273039,0.000273039
2,95.0493,1.63707,1.31786,1.09295,0.38211,0.24707,0.24038,0.11292,1.78169,1.51362,1.14014,0.0344178,0.000528898,0.000528898
3,143.092,1.61781,1.22835,1.07757,0.45058,0.2955,0.29471,0.14159,1.64867,1.23241,1.10044,0.00131832,0.000762765,0.000762765
4,191.731,1.6079,1.18355,1.0774,0.46242,0.30658,0.30154,0.14139,1.63663,1.25254,1.09378,0.00073404,0.00073404,0.00073404
5,240.271,1.5713,1.15192,1.06697,0.44211,0.32968,0.32115,0.15344,1.58227,1.13806,1.07286,0.000701053,0.000701053,0.000701053
6,288.57,1.55027,1.11874,1.05472,0.45592,0.3231,0.31957,0.15634,1.58324,1.13427,1.0769,0.000668066,0.000668066,0.000668066
7,348.958,1.5226,1.07952,1.04893,0.4789,0.32203,0.32669,0.1579,1.58509,1.13368,1.06797,0.000635079,0.000635079,0.000635079
8,360.186,1.50649,1.06064,1.03862,0.50662,0.33417,0.34299,0.16837,1.55267,1.06252,1.0559,0.000602092,0.000602092,0.000602092
9,371.191,1.50565,1.04814,1.04282,0.50037,0.33404,0.34831,0.17158,1.52757,1.05718,1.04822,0.000569106,0.000569106,0.000569106
10,382.394,1.50962,1.05162,1.04028,0.47237,0.34997,0.34963,0.1684,1.54895,1.06511,1.05117,0.000536119,0.000536119,0.000536119
11,393.44,1.45348,1.00619,1.02163,0.49378,0.3515,0.3644,0.17635,1.52206,1.02688,1.0374,0.000503132,0.000503132,0.000503132
12,404.586,1.47033,0.99267,1.02318,0.48086,0.35514,0.36051,0.17296,1.5497,1.05106,1.04728,0.000470145,0.000470145,0.000470145
13,415.55,1.49056,0.99768,1.02668,0.50603,0.35016,0.36747,0.17928,1.51255,1.00994,1.03683,0.000437158,0.000437158,0.000437158
14,426.795,1.455,0.97571,1.01165,0.53905,0.3652,0.38382,0.1854,1.50707,1.0014,1.03131,0.000404172,0.000404172,0.000404172
15,437.944,1.44602,0.95516,1.01066,0.52813,0.36589,0.38116,0.18749,1.48946,0.98865,1.03298,0.000371185,0.000371185,0.000371185
16,449.621,1.45561,0.98621,1.01166,0.51513,0.36098,0.37154,0.18307,1.51573,1.01374,1.04182,0.000338198,0.000338198,0.000338198
17,460.554,1.43831,0.94726,1.00182,0.5151,0.35675,0.36979,0.17876,1.51713,1.00811,1.03649,0.000305211,0.000305211,0.000305211
18,471.426,1.46142,0.95514,1.00467,0.53657,0.35649,0.37689,0.18432,1.49659,0.9862,1.03633,0.000272224,0.000272224,0.000272224
19,482.39,1.42039,0.91397,1.01149,0.52488,0.36854,0.38516,0.1882,1.48289,0.97259,1.02546,0.000239238,0.000239238,0.000239238
20,493.207,1.44741,0.94206,0.99943,0.5443,0.36688,0.38577,0.1897,1.47785,0.96337,1.02513,0.000206251,0.000206251,0.000206251
21,504.152,1.39179,0.89449,0.98976,0.555,0.37318,0.39549,0.19412,1.4768,0.95501,1.02706,0.000173264,0.000173264,0.000173264
22,515.112,1.4,0.89205,0.99568,0.53406,0.37839,0.39626,0.19562,1.47274,0.94589,1.02245,0.000140277,0.000140277,0.000140277
23,525.989,1.39915,0.89324,0.98387,0.55357,0.3796,0.40199,0.19626,1.46858,0.94079,1.01983,0.00010729,0.00010729,0.00010729
24,536.951,1.38681,0.87535,0.98948,0.55473,0.38456,0.40331,0.19768,1.46453,0.93485,1.01952,7.43036e-05,7.43036e-05,7.43036e-05
25,547.817,1.37346,0.86843,0.98391,0.54811,0.3844,0.40596,0.19865,1.46113,0.93006,1.01645,4.13168e-05,4.13168e-05,4.13168e-05
