epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.2042,1.17487,1.25323,1.06145,0.79729,0.42829,0.48067,0.28972,1.09347,0.92408,1.03322,0.000275595,0.000275595,0.000275595
2,41.1048,1.15717,1.01718,1.05405,0.66051,0.48784,0.54557,0.33432,1.07383,0.83875,1.04476,0.000531352,0.000531352,0.000531352
3,60.7869,1.12246,0.94184,1.04941,0.71664,0.48826,0.55527,0.34802,1.07546,0.83164,1.03876,0.000765118,0.000765118,0.000765118
4,80.2696,1.09935,0.8775,1.04109,0.56664,0.55576,0.57744,0.36352,1.02965,0.78906,1.03174,0.00073404,0.00073404,0.00073404
5,99.3537,1.0748,0.82289,1.03419,0.66326,0.645,0.67069,0.42494,1.0144,0.69754,1.01884,0.000701053,0.000701053,0.000701053
6,118.474,1.06212,0.78662,1.02625,0.68542,0.60982,0.68086,0.43527,1.02512,0.69336,1.02196,0.000668066,0.000668066,0.000668066
7,137.69,1.05732,0.75796,1.02096,0.70041,0.63092,0.67308,0.42184,1.03345,0.69981,1.03051,0.000635079,0.000635079,0.000635079
8,156.689,1.03965,0.73183,1.01415,0.67822,0.68754,0.71814,0.46338,1.00857,0.64663,1.02102,0.000602092,0.000602092,0.000602092
9,175.814,1.0245,0.70924,1.01142,0.72881,0.66946,0.72956,0.47643,0.98108,0.63441,1.00692,0.000569106,0.000569106,0.000569106
10,194.725,1.01556,0.69553,1.01065,0.76882,0.66903,0.73093,0.47865,0.98528,0.62406,1.00629,0.000536119,0.000536119,0.000536119
11,213.586,1.01561,0.68616,1.01033,0.73004,0.64988,0.72003,0.47516,0.98818,0.63214,1.00731,0.000503132,0.000503132,0.000503132
12,232.488,0.99048,0.66187,0.99889,0.76868,0.67818,0.73398,0.48151,0.97454,0.60689,1.00275,0.000470145,0.000470145,0.000470145
13,251.434,0.98759,0.65563,1.00168,0.76523,0.69065,0.75713,0.50369,0.95344,0.60224,0.99905,0.000437158,0.000437158,0.000437158
14,270.607,0.97707,0.64521,0.99679,0.78848,0.66158,0.75462,0.502,0.96145,0.62092,1.00565,0.000404172,0.000404172,0.000404172
15,289.455,0.97171,0.6331,0.9958,0.79238,0.71784,0.78022,0.52325,0.9511,0.57818,0.99577,0.000371185,0.000371185,0.000371185
16,309.414,0.94224,0.61439,0.98414,0.7877,0.71417,0.77413,0.51508,0.96429,0.58374,0.99501,0.000338198,0.000338198,0.000338198
17,327.806,0.92809,0.58873,0.9807,0.80505,0.71226,0.7896,0.53157,0.9404,0.57161,0.99444,0.000305211,0.000305211,0.000305211
18,346.541,0.9154,0.57623,0.97822,0.78827,0.71068,0.77317,0.51689,0.94748,0.5752,0.99631,0.000272224,0.000272224,0.000272224
19,364.927,0.90633,0.56552,0.97364,0.82092,0.71753,0.79076,0.52829,0.93688,0.5591,0.994,0.000239238,0.000239238,0.000239238
20,383.358,0.89846,0.55261,0.97151,0.81093,0.73497,0.79951,0.53665,0.9353,0.55605,0.99487,0.000206251,0.000206251,0.000206251
21,401.872,0.88557,0.54278,0.96527,0.80826,0.73734,0.80332,0.53897,0.93927,0.55093,0.99123,0.000173264,0.000173264,0.000173264
22,420.3,0.88176,0.53744,0.9615,0.81321,0.73851,0.80507,0.5434,0.92751,0.5443,0.98831,0.000140277,0.000140277,0.000140277
23,438.92,0.87064,0.52631,0.96083,0.81797,0.74516,0.80717,0.55005,0.91302,0.53515,0.98305,0.00010729,0.00010729,0.00010729
24,457.322,0.85829,0.51861,0.95497,0.82296,0.75022,0.80985,0.55021,0.91636,0.53328,0.9829,7.43036e-05,7.43036e-05,7.43036e-05
25,475.803,0.85271,0.5126,0.95225,0.81853,0.74865,0.81263,0.55227,0.91229,0.52926,0.98092,4.13168e-05,4.13168e-05,4.13168e-05
