epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.431,1.36996,1.68912,1.12944,0.81153,0.34777,0.37855,0.22131,1.18771,1.10931,1.06157,0.0002695,0.0002695,0.0002695
2,26.6979,1.31286,1.4329,1.11032,0.74322,0.33719,0.32748,0.19001,1.23999,1.20983,1.09659,0.000525499,0.000525499,0.000525499
3,39.0963,1.2938,1.34341,1.10506,0.68401,0.40192,0.38697,0.22621,1.20751,1.14421,1.10092,0.000759507,0.000759507,0.000759507
4,51.3019,1.29147,1.26354,1.11015,0.79534,0.45917,0.50328,0.29933,1.14547,0.9243,1.06742,0.00073404,0.00073404,0.00073404
5,63.4289,1.28392,1.21501,1.11003,0.81377,0.45313,0.51296,0.3072,1.11954,0.98617,1.07241,0.000701053,0.000701053,0.000701053
6,75.4603,1.27886,1.19989,1.11484,0.84684,0.42382,0.5175,0.30657,1.12703,0.93454,1.0892,0.000668066,0.000668066,0.000668066
7,87.406,1.27622,1.12949,1.09789,0.80203,0.46583,0.53143,0.32181,1.11095,0.88643,1.07093,0.000635079,0.000635079,0.000635079
8,99.4453,1.23934,1.08408,1.09321,0.81739,0.49875,0.56977,0.35158,1.12617,0.84838,1.06451,0.000602092,0.000602092,0.000602092
9,111.261,1.20132,1.02539,1.07796,0.80293,0.4884,0.54812,0.32326,1.15438,0.85786,1.07827,0.000569106,0.000569106,0.000569106
10,123.085,1.27192,1.04265,1.09796,0.80068,0.48067,0.57446,0.35865,1.08663,0.81663,1.05834,0.000536119,0.000536119,0.000536119
11,134.881,1.17817,0.98376,1.0786,0.84893,0.50553,0.59308,0.36777,1.0662,0.79459,1.04477,0.000503132,0.000503132,0.000503132
12,146.653,1.2081,0.99506,1.08044,0.69677,0.50047,0.59577,0.36626,1.09902,0.81285,1.06192,0.000470145,0.000470145,0.000470145
13,158.332,1.17543,0.95672,1.06796,0.84354,0.54449,0.61662,0.39041,1.07611,0.78335,1.04041,0.000437158,0.000437158,0.000437158
14,169.921,1.18706,0.94019,1.0694,0.84185,0.53657,0.63218,0.398,1.0627,0.74368,1.03905,0.000404172,0.000404172,0.000404172
15,181.537,1.18004,0.93835,1.0584,0.84603,0.51751,0.62054,0.39396,1.07375,0.75787,1.05013,0.000371185,0.000371185,0.000371185
16,193.541,1.11794,1.00344,1.04491,0.76815,0.53486,0.61232,0.38209,1.08481,0.7759,1.04776,0.000338198,0.000338198,0.000338198
17,204.995,1.11893,0.9365,1.0527,0.74948,0.56616,0.62773,0.39961,1.06937,0.74777,1.05115,0.000305211,0.000305211,0.000305211
18,216.675,1.09565,0.90837,1.03038,0.77778,0.54278,0.63518,0.40627,1.05467,0.73366,1.04155,0.000272224,0.000272224,0.000272224
19,228.168,1.10344,0.89366,1.04116,0.77611,0.54857,0.64365,0.41099,1.06211,0.72044,1.03969,0.000239238,0.000239238,0.000239238
20,239.656,1.09647,0.86933,1.03039,0.75821,0.56963,0.66091,0.42282,1.05994,0.72726,1.04581,0.000206251,0.000206251,0.000206251
21,251.08,1.10023,0.85588,1.05442,0.60483,0.67667,0.68132,0.43734,1.04907,0.70948,1.04058,0.000173264,0.000173264,0.000173264
22,262.645,1.06949,0.82818,1.01584,0.59429,0.68267,0.67557,0.4318,1.04337,0.69267,1.03735,0.000140277,0.000140277,0.000140277
23,273.882,1.05792,0.81317,1.02813,0.63936,0.67187,0.68607,0.44595,1.04524,0.69012,1.03602,0.00010729,0.00010729,0.00010729
24,285.291,1.0118,0.80445,1.00813,0.63179,0.67921,0.68351,0.44478,1.03025,0.68505,1.03291,7.43036e-05,7.43036e-05,7.43036e-05
25,296.529,0.98599,0.80418,1.00092,0.66446,0.67488,0.69217,0.45168,1.02287,0.67865,1.0297,4.13168e-05,4.13168e-05,4.13168e-05
