epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1176,1.31175,1.59136,1.11494,0.76283,0.32909,0.35398,0.21121,1.16959,1.13197,1.06267,0.00013328,0.00013328,0.00013328
2,24.1978,1.26019,1.43363,1.08503,0.79268,0.3484,0.36632,0.21286,1.20798,1.09895,1.0785,0.000264004,0.000264004,0.000264004
3,35.4729,1.23017,1.34851,1.08655,0.7781,0.33796,0.37066,0.21578,1.176,1.1291,1.06375,0.000383513,0.000383513,0.000383513
4,46.4791,1.1712,1.26622,1.06541,0.78008,0.34193,0.37516,0.21598,1.20973,1.12176,1.08316,0.000491807,0.000491807,0.000491807
5,57.907,1.27987,1.29031,1.08204,0.7388,0.30082,0.29466,0.16047,1.2417,1.32443,1.11176,0.000588884,0.000588884,0.000588884
6,68.6548,1.17017,1.16299,1.07079,0.74836,0.40379,0.43171,0.25861,1.12855,1.01845,1.085,0.000668066,0.000668066,0.000668066
7,79.3901,1.16609,1.15765,1.06506,0.76947,0.41145,0.44934,0.26451,1.1444,0.99433,1.0738,0.000635079,0.000635079,0.000635079
8,90.264,1.18144,1.14818,1.07535,0.7636,0.44562,0.47192,0.27793,1.12347,0.92678,1.06166,0.000602092,0.000602092,0.000602092
9,101.46,1.18348,1.10625,1.05626,0.78022,0.43726,0.48084,0.28855,1.10584,0.95841,1.0565,0.000569106,0.000569106,0.000569106
10,112.558,1.15976,1.10686,1.04405,0.77967,0.47296,0.49858,0.29578,1.12607,0.93849,1.06832,0.000536119,0.000536119,0.000536119
11,123.503,1.10198,1.08414,1.05798,0.81116,0.47914,0.51503,0.30183,1.11964,0.89144,1.07479,0.000503132,0.000503132,0.000503132
12,134.344,1.13192,1.06259,1.0572,0.80549,0.47845,0.52536,0.31614,1.09577,0.87768,1.05977,0.000470145,0.000470145,0.000470145
13,145.241,1.11617,1.01781,1.03398,0.81679,0.48478,0.53384,0.32768,1.07585,0.85431,1.0445,0.000437158,0.000437158,0.000437158
14,156.177,1.09226,0.98132,1.01695,0.68725,0.4934,0.54518,0.3368,1.08737,0.82517,1.05033,0.000404172,0.000404172,0.000404172
15,166.826,1.08473,1.00589,1.04368,0.6625,0.5384,0.5634,0.3504,1.08999,0.8167,1.05329,0.000371185,0.000371185,0.000371185
16,178.191,1.06636,1.09904,1.02218,0.69262,0.49679,0.53532,0.33141,1.081,0.90219,1.05531,0.000338198,0.000338198,0.000338198
17,188.898,1.04518,1.04439,1.01379,0.68643,0.52049,0.55233,0.3377,1.08746,0.87562,1.0534,0.000305211,0.000305211,0.000305211
18,199.572,1.0686,1.02875,1.0326,0.68834,0.5114,0.56007,0.34533,1.09554,0.84035,1.05912,0.000272224,0.000272224,0.000272224
19,210.317,1.04796,0.96963,1.02568,0.70294,0.49733,0.56013,0.34678,1.07927,0.81402,1.05317,0.000239238,0.000239238,0.000239238
20,220.949,1.03222,0.94851,1.00534,0.73559,0.50894,0.56467,0.34695,1.08742,0.82452,1.05143,0.000206251,0.000206251,0.000206251
21,231.467,0.99432,0.95706,1.00441,0.75206,0.52256,0.58165,0.35988,1.06711,0.79335,1.04384,0.000173264,0.000173264,0.000173264
22,242.217,1.02593,0.91747,1.02409,0.75169,0.52276,0.58397,0.3579,1.05906,0.77997,1.04505,0.000140277,0.000140277,0.000140277
23,252.801,1.03785,0.92741,1.00462,0.75829,0.52966,0.59123,0.36799,1.0521,0.77852,1.03499,0.00010729,0.00010729,0.00010729
24,263.605,1.00977,0.91907,0.99038,0.73346,0.55275,0.59729,0.37214,1.05319,0.77198,1.03567,7.43036e-05,7.43036e-05,7.43036e-05
25,274.294,0.99348,0.90473,0.99591,0.73149,0.55273,0.59975,0.37239,1.04956,0.76299,1.03575,4.13168e-05,4.13168e-05,4.13168e-05
