epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.079,1.28406,1.64988,1.09619,0.794,0.34494,0.37448,0.22558,1.13858,1.1239,1.04843,0.00018326,0.00018326,0.00018326
2,31.8916,1.24491,1.39634,1.07904,0.80249,0.36734,0.38147,0.22237,1.14759,1.04806,1.06171,0.000360006,0.000360006,0.000360006
3,46.9477,1.20638,1.31374,1.07638,0.80286,0.38588,0.41813,0.24758,1.14997,1.04014,1.0617,0.000521578,0.000521578,0.000521578
4,61.8853,1.25176,1.27959,1.09432,0.6896,0.41337,0.41355,0.23894,1.20834,1.04108,1.09326,0.000667976,0.000667976,0.000667976
5,76.6427,1.19954,1.19168,1.09152,0.67659,0.40936,0.41047,0.24168,1.18077,1.13371,1.08801,0.000701053,0.000701053,0.000701053
6,91.497,1.19701,1.14334,1.08192,0.74014,0.44972,0.48471,0.28037,1.15734,0.99724,1.0774,0.000668066,0.000668066,0.000668066
7,106.395,1.20557,1.14107,1.0678,0.79784,0.4534,0.49724,0.29485,1.1262,0.9235,1.07225,0.000635079,0.000635079,0.000635079
8,121.289,1.1495,1.09052,1.07226,0.66075,0.47374,0.52435,0.31202,1.11293,0.91392,1.07336,0.000602092,0.000602092,0.000602092
9,136.204,1.13282,1.06017,1.05181,0.7982,0.46805,0.51669,0.30301,1.13093,0.91559,1.07262,0.000569106,0.000569106,0.000569106
10,150.829,1.16225,1.0459,1.05437,0.74069,0.48602,0.54913,0.33398,1.09765,0.84662,1.06065,0.000536119,0.000536119,0.000536119
11,165.442,1.13988,1.00826,1.04744,0.79563,0.50888,0.57491,0.35309,1.07227,0.82166,1.04242,0.000503132,0.000503132,0.000503132
12,180.075,1.1335,0.97637,1.05674,0.76457,0.51512,0.56858,0.34701,1.06748,0.80881,1.04367,0.000470145,0.000470145,0.000470145
13,194.638,1.13907,1.00574,1.05713,0.7414,0.50222,0.5753,0.3577,1.07513,0.80289,1.05104,0.000437158,0.000437158,0.000437158
14,209.354,1.12482,0.97263,1.04501,0.74684,0.54142,0.59004,0.37272,1.05061,0.77548,1.04666,0.000404172,0.000404172,0.000404172
15,223.746,1.0989,0.94073,1.06168,0.78825,0.51686,0.5777,0.36037,1.05802,0.77553,1.04891,0.000371185,0.000371185,0.000371185
16,238.405,1.05373,1.09751,1.02206,0.71674,0.46218,0.51563,0.30655,1.12147,0.95916,1.07597,0.000338198,0.000338198,0.000338198
17,252.878,1.02694,0.9788,1.02183,0.73599,0.522,0.57554,0.35451,1.06571,0.83058,1.04537,0.000305211,0.000305211,0.000305211
18,267.344,1.02273,0.93883,1.01275,0.74675,0.53133,0.60199,0.37742,1.07122,0.82194,1.04373,0.000272224,0.000272224,0.000272224
19,282.086,1.05047,0.95323,1.02625,0.72849,0.55412,0.6186,0.3898,1.05786,0.77668,1.04431,0.000239238,0.000239238,0.000239238
20,296.536,0.97362,0.9207,1.00618,0.78367,0.53409,0.62589,0.39866,1.04963,0.76924,1.03833,0.000206251,0.000206251,0.000206251
21,310.908,0.95402,0.85182,0.98933,0.77509,0.53096,0.60591,0.38287,1.04255,0.75475,1.03738,0.000173264,0.000173264,0.000173264
22,325.4,0.98503,0.85616,0.98987,0.77995,0.5533,0.63481,0.40462,1.039,0.73525,1.0391,0.000140277,0.000140277,0.000140277
23,339.809,0.98478,0.86646,0.99512,0.78312,0.55604,0.6403,0.40703,1.03054,0.72314,1.03749,0.00010729,0.00010729,0.00010729
24,354.402,0.97343,0.82294,0.99883,0.76752,0.56671,0.64439,0.41411,1.02858,0.71882,1.0348,7.43036e-05,7.43036e-05,7.43036e-05
25,368.822,0.99014,0.81895,0.99541,0.78046,0.56039,0.64695,0.41832,1.02725,0.71554,1.03365,4.13168e-05,4.13168e-05,4.13168e-05
