epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.1736,1.20948,1.40915,1.07985,0.82771,0.38563,0.42109,0.2558,1.08069,0.97684,1.03987,0.000273522,0.000273522,0.000273522
2,31.9672,1.17322,1.14188,1.07206,0.81286,0.46374,0.51683,0.31776,1.09725,0.89728,1.0568,0.000529362,0.000529362,0.000529362
3,46.8422,1.17777,1.07622,1.07149,0.64929,0.48264,0.5181,0.30877,1.09906,0.92741,1.05471,0.00076321,0.00076321,0.00076321
4,61.412,1.1629,0.99142,1.06778,0.83149,0.46994,0.54664,0.33719,1.10887,0.86433,1.05742,0.00073404,0.00073404,0.00073404
5,75.8658,1.14944,0.94557,1.06635,0.72382,0.50294,0.5632,0.35336,1.05959,0.82044,1.04194,0.000701053,0.000701053,0.000701053
6,90.3297,1.09168,0.90079,1.04819,0.81765,0.4888,0.55861,0.34423,1.08359,0.87195,1.04985,0.000668066,0.000668066,0.000668066
7,104.695,1.07096,0.85682,1.03491,0.52901,0.62159,0.59802,0.37466,1.06653,0.76784,1.04315,0.000635079,0.000635079,0.000635079
8,118.964,1.07324,0.84579,1.03285,0.7656,0.58046,0.65321,0.41564,1.03138,0.72187,1.02736,0.000602092,0.000602092,0.000602092
9,133.139,1.06066,0.8204,1.03931,0.59612,0.63309,0.6478,0.41831,1.0346,0.72849,1.03226,0.000569106,0.000569106,0.000569106
10,147.361,1.08305,0.82641,1.03384,0.66207,0.6206,0.65827,0.41026,1.06933,0.73385,1.03789,0.000536119,0.000536119,0.000536119
11,161.541,1.04602,0.78512,1.01923,0.68724,0.63497,0.6684,0.43029,1.02962,0.6962,1.02683,0.000503132,0.000503132,0.000503132
12,175.714,1.0391,0.77034,1.02028,0.67277,0.64437,0.68321,0.44812,1.0143,0.68539,1.0216,0.000470145,0.000470145,0.000470145
13,189.768,1.06007,0.76807,1.03092,0.6969,0.66325,0.70076,0.44973,1.03261,0.68151,1.03182,0.000437158,0.000437158,0.000437158
14,203.744,1.01275,0.73061,1.01111,0.73741,0.64,0.71227,0.46165,1.00558,0.66217,1.01705,0.000404172,0.000404172,0.000404172
15,217.747,1.0147,0.72648,1.00507,0.70939,0.68438,0.7237,0.47044,1.00473,0.6592,1.01689,0.000371185,0.000371185,0.000371185
16,232.169,0.99044,0.73146,1.01463,0.64942,0.63049,0.67531,0.43651,1.00747,0.6817,1.01913,0.000338198,0.000338198,0.000338198
17,246.062,0.96986,0.69036,1.00018,0.69517,0.65971,0.70446,0.45915,0.99991,0.65235,1.0162,0.000305211,0.000305211,0.000305211
18,259.729,0.94863,0.6754,0.98836,0.74977,0.65724,0.72943,0.47703,1.0064,0.6404,1.01856,0.000272224,0.000272224,0.000272224
19,273.53,0.9472,0.65457,0.98866,0.74747,0.67276,0.74117,0.48724,0.99384,0.62702,1.01304,0.000239238,0.000239238,0.000239238
20,287.397,0.94179,0.64276,0.9852,0.76535,0.64607,0.72719,0.48214,0.99261,0.62839,1.01366,0.000206251,0.000206251,0.000206251
21,301.107,0.92515,0.63316,0.98587,0.72869,0.67929,0.74031,0.49218,0.98709,0.61321,1.01202,0.000173264,0.000173264,0.000173264
22,314.748,0.90646,0.62048,0.97735,0.75134,0.68729,0.75575,0.50488,0.97226,0.60154,1.0073,0.000140277,0.000140277,0.000140277
23,328.4,0.93027,0.61181,0.98268,0.76107,0.68316,0.75629,0.50328,0.97296,0.59718,1.00757,0.00010729,0.00010729,0.00010729
24,342.147,0.90614,0.60225,0.97551,0.77979,0.69424,0.76384,0.51131,0.97152,0.59377,1.00373,7.43036e-05,7.43036e-05,7.43036e-05
25,355.894,0.88021,0.58866,0.95791,0.76367,0.70545,0.76779,0.51585,0.9654,0.58861,1.00331,4.13168e-05,4.13168e-05,4.13168e-05
