epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.8723,1.1834,1.26844,1.06875,0.76833,0.43278,0.4766,0.28392,1.11937,0.91999,1.03941,0.000275409,0.000275409,0.000275409
2,41.3588,1.14216,1.06703,1.05726,0.82469,0.44425,0.51234,0.30949,1.08442,0.89666,1.05078,0.000531174,0.000531174,0.000531174
3,60.3462,1.14185,0.9785,1.06608,0.78977,0.47697,0.53342,0.32532,1.06097,0.84892,1.05162,0.000764948,0.000764948,0.000764948
4,78.8579,1.10622,0.918,1.05174,0.71476,0.53267,0.5759,0.3563,1.07155,0.80465,1.04513,0.00073404,0.00073404,0.00073404
5,97.3443,1.10144,0.87278,1.04662,0.66858,0.54154,0.59736,0.3737,1.03007,0.74658,1.03312,0.000701053,0.000701053,0.000701053
6,115.98,1.0567,0.81149,1.02854,0.55563,0.61841,0.60256,0.37332,1.02418,0.72749,1.03102,0.000668066,0.000668066,0.000668066
7,134.343,1.04032,0.79948,1.02828,0.62796,0.62879,0.65327,0.41075,1.01056,0.69314,1.02278,0.000635079,0.000635079,0.000635079
8,152.747,1.0329,0.75576,1.02365,0.61231,0.61261,0.62913,0.40026,1.00603,0.70744,1.02287,0.000602092,0.000602092,0.000602092
9,170.939,1.02561,0.73379,1.02446,0.74083,0.64829,0.69422,0.44066,1.00549,0.66661,1.02564,0.000569106,0.000569106,0.000569106
10,189.14,1.01619,0.72644,1.01983,0.71406,0.62262,0.67821,0.43064,1.01006,0.67476,1.02259,0.000536119,0.000536119,0.000536119
11,207.306,1.0356,0.71759,1.022,0.67077,0.6905,0.71246,0.46045,0.99056,0.63991,1.01664,0.000503132,0.000503132,0.000503132
12,225.624,1.01329,0.696,1.01991,0.75996,0.64966,0.70799,0.45713,0.99145,0.63554,1.01793,0.000470145,0.000470145,0.000470145
13,243.808,0.97933,0.66643,1.0035,0.7142,0.68555,0.72128,0.47079,0.98075,0.63122,1.01182,0.000437158,0.000437158,0.000437158
14,261.944,0.96841,0.6471,0.99831,0.76065,0.67869,0.72916,0.47872,0.9739,0.60851,1.00887,0.000404172,0.000404172,0.000404172
15,280.316,0.98883,0.64855,1.00353,0.74811,0.6786,0.7325,0.47435,0.9646,0.61486,1.00172,0.000371185,0.000371185,0.000371185
16,298.699,0.9426,0.62777,0.99757,0.76515,0.67702,0.73887,0.47331,0.9904,0.60698,1.01195,0.000338198,0.000338198,0.000338198
17,316.424,0.93873,0.60523,0.99212,0.76967,0.68831,0.75729,0.4983,0.96286,0.58963,1.00326,0.000305211,0.000305211,0.000305211
18,334.181,0.91535,0.58402,0.97845,0.76934,0.70156,0.75333,0.49295,0.9504,0.588,0.99983,0.000272224,0.000272224,0.000272224
19,351.891,0.91583,0.58281,0.98385,0.76957,0.70252,0.75612,0.49922,0.94438,0.5799,0.99824,0.000239238,0.000239238,0.000239238
20,369.896,0.89204,0.56343,0.97728,0.78915,0.68864,0.7606,0.5069,0.94359,0.57003,0.9955,0.000206251,0.000206251,0.000206251
21,387.624,0.88113,0.54583,0.96923,0.78063,0.69663,0.77009,0.51561,0.93685,0.5702,0.99265,0.000173264,0.000173264,0.000173264
22,405.39,0.88075,0.54758,0.97213,0.79908,0.70878,0.77787,0.51854,0.93565,0.56182,0.99578,0.000140277,0.000140277,0.000140277
23,423.069,0.86962,0.54182,0.96289,0.81026,0.70347,0.78264,0.52568,0.92926,0.55726,0.99104,0.00010729,0.00010729,0.00010729
24,440.935,0.87666,0.52929,0.96604,0.79592,0.72519,0.78455,0.52817,0.92275,0.54999,0.98764,7.43036e-05,7.43036e-05,7.43036e-05
25,458.676,0.85652,0.52623,0.96127,0.80285,0.71904,0.78753,0.53236,0.91638,0.54666,0.98593,4.13168e-05,4.13168e-05,4.13168e-05
