epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.4348,1.08985,0.79858,0.99373,0.49244,0.43317,0.46328,0.25409,1.32405,1.00577,1.04991,0.000414462,0.000414462,0.000414462
2,115.639,1.10839,0.7922,0.99713,0.54538,0.40268,0.44748,0.22919,1.41277,1.01102,1.09171,0.000798216,0.000798216,0.000798216
3,168.49,1.10642,0.78584,0.99443,0.86713,0.34003,0.41273,0.21041,1.54657,1.12457,1.1382,0.00114897,0.00114897,0.00114897
4,223.094,1.09613,0.76073,0.98981,0.75061,0.35406,0.40127,0.20225,1.41931,1.23956,1.09142,0.0011015,0.0011015,0.0011015
5,275.479,1.05525,0.73055,0.98215,0.42915,0.47136,0.45642,0.26269,1.39803,0.98271,1.07777,0.001052,0.001052,0.001052
6,327.634,1.02666,0.70657,0.96632,0.47692,0.44294,0.45321,0.23329,1.4024,1.02041,1.09,0.0010025,0.0010025,0.0010025
7,380.498,1.00253,0.68755,0.96216,0.46007,0.42175,0.43652,0.24877,1.39305,1.01511,1.0652,0.000953,0.000953,0.000953
8,432.331,0.97307,0.66135,0.95063,0.5155,0.41945,0.45064,0.2324,1.39937,1.05982,1.05823,0.0009035,0.0009035,0.0009035
9,484.897,0.94768,0.6407,0.94528,0.5855,0.42195,0.47778,0.25731,1.41055,0.98633,1.07874,0.000854,0.000854,0.000854
10,539.155,0.9304,0.62052,0.93744,0.47878,0.39938,0.43952,0.22475,1.32859,1.11039,1.05081,0.0008045,0.0008045,0.0008045
11,591.434,0.90229,0.61021,0.93138,0.52097,0.42414,0.47346,0.27886,1.25364,0.99362,1.03123,0.000755,0.000755,0.000755
12,643.497,0.89909,0.60491,0.92944,0.52951,0.41301,0.46286,0.26829,1.24943,0.96071,1.04697,0.0007055,0.0007055,0.0007055
13,695.429,0.88413,0.58854,0.92149,0.50264,0.39883,0.43774,0.24877,1.42752,1.07889,1.08992,0.000656,0.000656,0.000656
14,746.865,0.85697,0.5748,0.92045,0.54468,0.42727,0.48884,0.28681,1.25443,0.97589,1.04193,0.0006065,0.0006065,0.0006065
15,798.769,0.83828,0.55976,0.91209,0.48776,0.40717,0.45862,0.24891,1.26932,0.97453,1.0508,0.000557,0.000557,0.000557
16,850.12,0.78774,0.53277,0.89161,0.55203,0.37598,0.45391,0.24908,1.29538,1.0031,1.04997,0.0005075,0.0005075,0.0005075
17,900.837,0.76009,0.50631,0.88472,0.54305,0.40315,0.45781,0.24005,1.33894,1.00984,1.07184,0.000458,0.000458,0.000458
18,950.892,0.73492,0.49441,0.88008,0.53464,0.41127,0.45591,0.26007,1.29096,0.97539,1.05477,0.0004085,0.0004085,0.0004085
19,1001.61,0.70766,0.47966,0.86889,0.50784,0.44183,0.47998,0.26696,1.26696,0.94932,1.04028,0.000359,0.000359,0.000359
20,1052.04,0.69798,0.47196,0.86988,0.55427,0.41199,0.47712,0.26806,1.2941,0.98156,1.04881,0.0003095,0.0003095,0.0003095
21,1102.42,0.68251,0.46101,0.86238,0.57388,0.38883,0.45863,0.25304,1.30871,1.05962,1.05032,0.00026,0.00026,0.00026
22,1152.73,0.66481,0.44924,0.86189,0.47483,0.44405,0.46421,0.26439,1.30418,1.00587,1.06545,0.0002105,0.0002105,0.0002105
23,1203.41,0.64909,0.4407,0.85787,0.48091,0.43723,0.45595,0.26014,1.32651,1.01206,1.06525,0.000161,0.000161,0.000161
24,1254,0.63605,0.43403,0.85483,0.45508,0.45132,0.46223,0.25929,1.32428,1.00807,1.06975,0.0001115,0.0001115,0.0001115
25,1304.41,0.62384,0.42651,0.85093,0.49129,0.43464,0.4603,0.26048,1.31674,0.9942,1.06723,6.2e-05,6.2e-05,6.2e-05
