epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.3388,0.73848,0.4899,0.88681,0.53931,0.43952,0.47416,0.28272,1.38895,0.96025,1.11987,0.0004152,0.0004152,0.0004152
2,126.889,0.7443,0.49131,0.88533,0.54346,0.41074,0.43929,0.25958,1.39665,0.97572,1.10057,0.000798924,0.000798924,0.000798924
3,188.941,0.79748,0.52118,0.89753,0.52166,0.45217,0.46506,0.28307,1.25948,0.9677,1.07078,0.00114965,0.00114965,0.00114965
4,250.937,0.79252,0.51786,0.89466,0.47819,0.4597,0.47623,0.28133,1.33383,1.00022,1.08097,0.0011015,0.0011015,0.0011015
5,314.325,0.78357,0.51854,0.89496,0.56315,0.37685,0.42119,0.24849,1.32809,0.97176,1.09689,0.001052,0.001052,0.001052
6,376.401,0.77427,0.50813,0.88979,0.49432,0.42449,0.42877,0.26992,1.30777,0.99789,1.0928,0.0010025,0.0010025,0.0010025
7,437.648,0.76703,0.49945,0.8889,0.50754,0.45627,0.46737,0.27257,1.35315,1.01119,1.08909,0.000953,0.000953,0.000953
8,499.961,0.76055,0.49583,0.88876,0.49959,0.43654,0.44752,0.26677,1.34917,0.95849,1.12085,0.0009035,0.0009035,0.0009035
9,562.127,0.75136,0.49262,0.88332,0.56988,0.44059,0.48419,0.2774,1.3126,0.97582,1.07902,0.000854,0.000854,0.000854
10,623.559,0.73219,0.48463,0.88262,0.50043,0.41875,0.442,0.25772,1.27922,0.99173,1.07555,0.0008045,0.0008045,0.0008045
11,685.532,0.72117,0.47473,0.87976,0.55253,0.41345,0.45186,0.25317,1.35179,1.03998,1.10834,0.000755,0.000755,0.000755
12,747.454,0.70911,0.4669,0.87616,0.48815,0.4488,0.46309,0.28315,1.30928,0.9988,1.07903,0.0007055,0.0007055,0.0007055
13,809.076,0.71073,0.4657,0.87662,0.52058,0.41711,0.45268,0.27484,1.40477,0.99536,1.11961,0.000656,0.000656,0.000656
14,870.647,0.69874,0.46074,0.87476,0.54355,0.38885,0.43464,0.26679,1.32855,1.06804,1.1018,0.0006065,0.0006065,0.0006065
15,932.187,0.68112,0.44892,0.87153,0.51947,0.42435,0.45245,0.27948,1.27068,0.98471,1.05744,0.000557,0.000557,0.000557
16,992.756,0.64357,0.42383,0.85254,0.48331,0.44274,0.44336,0.25635,1.3349,1.01741,1.07982,0.0005075,0.0005075,0.0005075
17,1052.99,0.62672,0.41293,0.8513,0.50389,0.41413,0.45084,0.26923,1.33317,1.00338,1.09278,0.000458,0.000458,0.000458
18,1112.49,0.61009,0.40516,0.84396,0.5177,0.43246,0.4524,0.26972,1.33716,1.00793,1.11571,0.0004085,0.0004085,0.0004085
19,1172.32,0.58936,0.39411,0.8406,0.55085,0.4217,0.4547,0.27625,1.34198,1.00163,1.09662,0.000359,0.000359,0.000359
20,1233.7,0.58153,0.38871,0.84121,0.53993,0.45571,0.46879,0.27297,1.33686,0.99657,1.08735,0.0003095,0.0003095,0.0003095
21,1294.89,0.5743,0.38476,0.837,0.52429,0.44318,0.4599,0.27774,1.33388,1.01119,1.09024,0.00026,0.00026,0.00026
22,1354.16,0.55959,0.37505,0.83319,0.51333,0.45944,0.46684,0.27045,1.32754,0.96817,1.09514,0.0002105,0.0002105,0.0002105
23,1414.27,0.54641,0.36918,0.83299,0.54276,0.45309,0.46888,0.27265,1.3411,1.00556,1.09909,0.000161,0.000161,0.000161
24,1473.81,0.53477,0.36312,0.83134,0.51717,0.45735,0.46066,0.27102,1.3446,1.0102,1.10207,0.0001115,0.0001115,0.0001115
25,1533.68,0.53024,0.36142,0.8267,0.5153,0.45677,0.462,0.27285,1.33676,1.00224,1.09748,6.2e-05,6.2e-05,6.2e-05
