epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.5323,1.87199,2.68237,1.26346,0.00249,0.20502,0.11571,0.06524,1.57515,3.57809,1.09652,0.0673938,3.26389e-05,3.26389e-05
2,75.2085,1.74928,1.75749,1.24033,0.80616,0.18375,0.24611,0.14852,1.44066,2.83235,1.06418,0.0340911,6.33597e-05,6.33597e-05
3,112.364,1.70351,1.60314,1.21624,0.86744,0.20148,0.26367,0.15771,1.40661,1.67868,1.08384,0.000785885,9.14406e-05,9.14406e-05
4,150.021,1.64506,1.51356,1.21104,0.83358,0.23281,0.27024,0.16397,1.35594,1.35603,1.07445,8.812e-05,8.812e-05,8.812e-05
5,187.703,1.64504,1.47971,1.17609,0.78538,0.22751,0.26941,0.1632,1.35448,1.30102,1.07674,8.416e-05,8.416e-05,8.416e-05
6,225.474,1.54428,1.39037,1.16064,0.80773,0.23433,0.27935,0.16716,1.35014,1.28413,1.07518,8.02e-05,8.02e-05,8.02e-05
7,263.27,1.52915,1.33959,1.14629,0.73092,0.24761,0.28997,0.17651,1.34459,1.26003,1.0768,7.624e-05,7.624e-05,7.624e-05
8,300.788,1.535,1.30819,1.14799,0.72328,0.24257,0.28818,0.16886,1.39213,1.25236,1.08822,7.228e-05,7.228e-05,7.228e-05
9,338.374,1.55395,1.32757,1.15002,0.69847,0.252,0.29294,0.17708,1.35653,1.21726,1.07871,6.832e-05,6.832e-05,6.832e-05
10,375.882,1.51106,1.28212,1.12325,0.73953,0.25021,0.3019,0.18191,1.34989,1.2155,1.07702,6.436e-05,6.436e-05,6.436e-05
11,413.348,1.54191,1.29328,1.13706,0.74569,0.24942,0.3143,0.18763,1.35688,1.20388,1.07936,6.04e-05,6.04e-05,6.04e-05
12,450.809,1.45192,1.21854,1.12148,0.7406,0.25303,0.32296,0.19249,1.36623,1.19434,1.07849,5.644e-05,5.644e-05,5.644e-05
13,488.393,1.41574,1.22854,1.09838,0.76585,0.24654,0.33391,0.19741,1.34238,1.20397,1.07458,5.248e-05,5.248e-05,5.248e-05
14,525.732,1.42349,1.23548,1.09121,0.75808,0.2471,0.33549,0.19904,1.34265,1.17073,1.07649,4.852e-05,4.852e-05,4.852e-05
15,563.17,1.42243,1.19712,1.0891,0.46664,0.31321,0.34316,0.20499,1.35344,1.14424,1.07736,4.456e-05,4.456e-05,4.456e-05
16,601.575,1.35621,1.19809,1.0781,0.78776,0.30022,0.33903,0.19835,1.3439,1.1831,1.07388,4.06e-05,4.06e-05,4.06e-05
17,639.266,1.34243,1.16176,1.07051,0.82908,0.28591,0.34262,0.20625,1.35482,1.18848,1.07903,3.664e-05,3.664e-05,3.664e-05
18,676.806,1.32785,1.14528,1.06406,0.5641,0.29745,0.35119,0.20994,1.35775,1.15392,1.08318,3.268e-05,3.268e-05,3.268e-05
19,714.124,1.30975,1.1271,1.05466,0.54826,0.30793,0.36082,0.21375,1.3372,1.15053,1.07553,2.872e-05,2.872e-05,2.872e-05
20,751.456,1.29066,1.13251,1.06178,0.58846,0.29874,0.36466,0.2159,1.34236,1.14223,1.07498,2.476e-05,2.476e-05,2.476e-05
21,788.737,1.3111,1.12202,1.06365,0.58603,0.30561,0.36845,0.21503,1.34037,1.13825,1.07684,2.08e-05,2.08e-05,2.08e-05
22,826.146,1.30702,1.12845,1.05007,0.57591,0.31118,0.37093,0.2171,1.34226,1.13568,1.07649,1.684e-05,1.684e-05,1.684e-05
23,863.651,1.26378,1.09525,1.04735,0.58666,0.30753,0.37365,0.21884,1.33847,1.13554,1.07551,1.288e-05,1.288e-05,1.288e-05
24,901.056,1.3061,1.1328,1.0652,0.58091,0.31353,0.37403,0.22012,1.34021,1.12933,1.07616,8.92e-06,8.92e-06,8.92e-06
25,938.408,1.30403,1.1013,1.05408,0.58602,0.30874,0.37438,0.21885,1.3447,1.12991,1.07713,4.96e-06,4.96e-06,4.96e-06
