epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,436.361,1.46819,1.14775,1.11566,0.67404,0.52291,0.5978,0.32695,1.42437,1.04355,1.09919,0.066707,3.33263e-05,3.33263e-05
2,861.856,1.1648,0.84129,0.99113,0.71693,0.58363,0.64171,0.36536,1.3049,0.89776,1.0584,0.0334043,6.40199e-05,6.40199e-05
3,1284.84,1.02222,0.71498,0.94222,0.77287,0.58991,0.65635,0.37261,1.28722,0.87847,1.04797,9.90675e-05,9.20736e-05,9.20736e-05
4,1707.1,0.94021,0.64626,0.91693,0.74418,0.6012,0.65826,0.39233,1.26763,0.86602,1.04383,8.812e-05,8.812e-05,8.812e-05
5,2129,0.89361,0.60997,0.90372,0.7486,0.59993,0.65707,0.39696,1.29182,0.86889,1.05183,8.416e-05,8.416e-05,8.416e-05
6,2551.42,0.85943,0.58323,0.8941,0.75323,0.59373,0.66983,0.39361,1.30882,0.89018,1.04832,8.02e-05,8.02e-05,8.02e-05
7,2973.62,0.84157,0.56834,0.88854,0.75848,0.58274,0.67313,0.40666,1.2888,0.86923,1.04191,7.624e-05,7.624e-05,7.624e-05
8,3395.18,0.81841,0.55303,0.88277,0.74911,0.58872,0.67382,0.40905,1.30421,0.87977,1.04604,7.228e-05,7.228e-05,7.228e-05
9,3817.46,0.80632,0.54206,0.87939,0.73618,0.5968,0.67145,0.41483,1.30259,0.88364,1.04517,6.832e-05,6.832e-05,6.832e-05
10,4239.9,0.79057,0.53234,0.87562,0.73078,0.60065,0.66953,0.41892,1.30099,0.88485,1.04685,6.436e-05,6.436e-05,6.436e-05
11,4662.73,0.78184,0.52505,0.87362,0.73071,0.60131,0.67106,0.42095,1.2993,0.88696,1.04562,6.04e-05,6.04e-05,6.04e-05
12,5084.99,0.77241,0.51868,0.871,0.72857,0.60567,0.67401,0.42262,1.30069,0.88737,1.04582,5.644e-05,5.644e-05,5.644e-05
13,5507.16,0.76381,0.51249,0.86929,0.72568,0.60878,0.67541,0.42229,1.3026,0.88827,1.04572,5.248e-05,5.248e-05,5.248e-05
14,5929.15,0.75339,0.50532,0.86638,0.72472,0.61058,0.67501,0.42146,1.30513,0.89126,1.0468,4.852e-05,4.852e-05,4.852e-05
15,6351,0.74937,0.50303,0.86534,0.72329,0.61297,0.67444,0.42117,1.30641,0.89305,1.04718,4.456e-05,4.456e-05,4.456e-05
16,6748.25,0.6625,0.45031,0.84421,0.72515,0.61595,0.67572,0.42158,1.30741,0.89189,1.04745,4.06e-05,4.06e-05,4.06e-05
17,7145.43,0.64609,0.44043,0.84074,0.72868,0.61791,0.67718,0.42188,1.3093,0.89169,1.0483,3.664e-05,3.664e-05,3.664e-05
18,7542.26,0.63553,0.43384,0.83854,0.73101,0.61881,0.67727,0.42144,1.31258,0.89092,1.04995,3.268e-05,3.268e-05,3.268e-05
19,7938.39,0.6276,0.4291,0.83729,0.73172,0.62101,0.67776,0.42107,1.31344,0.88849,1.0519,2.872e-05,2.872e-05,2.872e-05
20,8335.27,0.61994,0.42396,0.83579,0.73041,0.62329,0.67694,0.42005,1.31638,0.88905,1.05449,2.476e-05,2.476e-05,2.476e-05
21,8732.55,0.61627,0.42228,0.83503,0.73108,0.62469,0.6777,0.41997,1.31801,0.88881,1.05567,2.08e-05,2.08e-05,2.08e-05
22,9129.33,0.61115,0.41861,0.83381,0.72501,0.62765,0.67746,0.41901,1.31938,0.889,1.05644,1.684e-05,1.684e-05,1.684e-05
23,9525.98,0.60785,0.41568,0.83337,0.72438,0.62739,0.6775,0.41834,1.32122,0.88933,1.05715,1.288e-05,1.288e-05,1.288e-05
24,9923.07,0.60345,0.4131,0.8325,0.72155,0.62872,0.67686,0.41754,1.32217,0.889,1.05781,8.92e-06,8.92e-06,8.92e-06
25,10320,0.60223,0.41272,0.83228,0.71782,0.63012,0.67653,0.41652,1.32247,0.88848,1.05831,4.96e-06,4.96e-06,4.96e-06
