epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.6943,1.09313,0.80884,0.99422,0.54987,0.41162,0.46333,0.27307,1.2553,0.96678,1.0457,0.000413732,0.000413732,0.000413732
2,102.427,1.10934,0.80806,0.99787,0.48967,0.41075,0.42128,0.23296,1.32949,1.05772,1.08121,0.000797515,0.000797515,0.000797515
3,151.114,1.13365,0.81258,1.00292,0.55596,0.42257,0.46876,0.26297,1.31527,0.99538,1.04428,0.0011483,0.0011483,0.0011483
4,198.843,1.10759,0.77713,0.99902,0.37816,0.43447,0.42005,0.22195,1.4622,1.17791,1.10557,0.0011015,0.0011015,0.0011015
5,247.447,1.06453,0.75022,0.98215,0.52597,0.42407,0.45604,0.23193,1.46528,1.08886,1.11239,0.001052,0.001052,0.001052
6,295.171,1.06259,0.7413,0.98629,0.51327,0.39373,0.44721,0.22413,1.37207,1.06869,1.07488,0.0010025,0.0010025,0.0010025
7,344.18,1.0362,0.70441,0.96547,0.55178,0.41614,0.45886,0.26378,1.30601,0.9931,1.05465,0.000953,0.000953,0.000953
8,391.387,0.99181,0.67676,0.95809,0.53791,0.3841,0.42859,0.25151,1.33157,1.11798,1.0633,0.0009035,0.0009035,0.0009035
9,438.529,0.99074,0.67639,0.95946,0.44763,0.41342,0.42073,0.23482,1.46634,1.09451,1.09444,0.000854,0.000854,0.000854
10,486.275,0.96475,0.65185,0.94837,0.50638,0.37657,0.42073,0.23934,1.26965,1.00401,1.04933,0.0008045,0.0008045,0.0008045
11,533.885,0.93438,0.635,0.93774,0.53399,0.39003,0.46131,0.26195,1.27819,1.02216,1.06189,0.000755,0.000755,0.000755
12,581.673,0.91506,0.62623,0.94033,0.53983,0.40059,0.44834,0.2601,1.29641,1.02037,1.05702,0.0007055,0.0007055,0.0007055
13,629.148,0.90919,0.61541,0.93519,0.48562,0.45094,0.46809,0.25575,1.35489,0.96504,1.07648,0.000656,0.000656,0.000656
14,676.838,0.87816,0.59357,0.92057,0.55538,0.35401,0.43876,0.25583,1.33984,1.02454,1.06635,0.0006065,0.0006065,0.0006065
15,724.166,0.87631,0.59003,0.92227,0.64422,0.3631,0.46309,0.28247,1.2591,0.99008,1.05373,0.000557,0.000557,0.000557
16,772.025,0.81316,0.55477,0.89652,0.46549,0.46521,0.46839,0.26105,1.2836,0.96753,1.06246,0.0005075,0.0005075,0.0005075
17,819.034,0.78856,0.53808,0.89293,0.49589,0.41488,0.44426,0.24459,1.3807,1.02804,1.08518,0.000458,0.000458,0.000458
18,865.753,0.77036,0.52015,0.88552,0.57924,0.41241,0.48137,0.28161,1.2899,0.9769,1.05954,0.0004085,0.0004085,0.0004085
19,912.428,0.74091,0.50283,0.8784,0.52224,0.46822,0.49058,0.28421,1.28501,1.0016,1.04775,0.000359,0.000359,0.000359
20,959.174,0.73142,0.49672,0.87619,0.48253,0.45012,0.4623,0.26502,1.31378,0.97522,1.06826,0.0003095,0.0003095,0.0003095
21,1005.98,0.71393,0.48815,0.87414,0.53332,0.43821,0.47528,0.26681,1.3007,0.96146,1.06502,0.00026,0.00026,0.00026
22,1052.63,0.68744,0.46606,0.86496,0.50282,0.47434,0.48049,0.28018,1.2838,0.99081,1.04647,0.0002105,0.0002105,0.0002105
23,1099.56,0.68181,0.46676,0.86675,0.52323,0.47081,0.48386,0.28584,1.29418,0.99677,1.05951,0.000161,0.000161,0.000161
24,1146.27,0.66449,0.45525,0.86076,0.48511,0.46576,0.46679,0.28009,1.31636,1.00699,1.06729,0.0001115,0.0001115,0.0001115
25,1192.53,0.64724,0.4472,0.85787,0.47981,0.46272,0.468,0.28204,1.30382,0.98342,1.06551,6.2e-05,6.2e-05,6.2e-05
