epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.9577,1.10169,0.82091,1.00394,0.55408,0.41913,0.4832,0.28121,1.25102,0.95224,1.04453,0.000414462,0.000414462,0.000414462
2,148.895,1.11444,0.81027,1.00674,0.50089,0.43022,0.47238,0.25216,1.36597,1.04335,1.07712,0.000798216,0.000798216,0.000798216
3,209.43,1.10822,0.79407,1.00136,0.52335,0.42862,0.45951,0.27307,1.40181,1.10019,1.10013,0.00114897,0.00114897,0.00114897
4,261.389,1.08923,0.76526,0.99011,0.51194,0.3808,0.44048,0.24267,1.44603,1.20389,1.11163,0.0011015,0.0011015,0.0011015
5,315.241,1.05959,0.74056,0.98472,0.51883,0.41038,0.45406,0.26355,1.38048,1.06142,1.07778,0.001052,0.001052,0.001052
6,368.487,1.0322,0.70924,0.97146,0.54873,0.42471,0.46725,0.26412,1.36064,1.02457,1.09338,0.0010025,0.0010025,0.0010025
7,420.913,0.99849,0.68393,0.96312,0.55928,0.37742,0.45223,0.25634,1.42241,1.05773,1.10279,0.000953,0.000953,0.000953
8,476.611,0.97916,0.66566,0.95395,0.52833,0.43479,0.47833,0.26949,1.41362,1.05926,1.10287,0.0009035,0.0009035,0.0009035
9,529.283,0.95897,0.65668,0.94867,0.5537,0.36269,0.44051,0.25774,1.39489,1.02602,1.09487,0.000854,0.000854,0.000854
10,582.968,0.9265,0.62878,0.93592,0.56122,0.40033,0.47251,0.26742,1.41328,0.97379,1.09453,0.0008045,0.0008045,0.0008045
11,636.659,0.90193,0.61415,0.93786,0.43467,0.40895,0.44678,0.26784,1.26926,0.97235,1.05126,0.000755,0.000755,0.000755
12,694.009,0.87993,0.59581,0.92796,0.53823,0.44985,0.48296,0.28258,1.33141,1.00198,1.08267,0.0007055,0.0007055,0.0007055
13,748.051,0.87112,0.58608,0.924,0.50136,0.45313,0.47779,0.27729,1.32871,1.00268,1.07161,0.000656,0.000656,0.000656
14,808.496,0.8641,0.57932,0.92071,0.48915,0.46154,0.47778,0.27153,1.38702,0.98535,1.08788,0.0006065,0.0006065,0.0006065
15,862.517,0.84905,0.56982,0.91485,0.49682,0.44292,0.46282,0.26069,1.36862,1.03676,1.07077,0.000557,0.000557,0.000557
16,939.106,0.78589,0.52825,0.88758,0.51349,0.45607,0.46813,0.26119,1.42893,0.97709,1.10151,0.0005075,0.0005075,0.0005075
17,993.258,0.75756,0.51212,0.88309,0.4835,0.44878,0.45875,0.25094,1.46885,1.02211,1.1079,0.000458,0.000458,0.000458
18,1052.35,0.7339,0.49786,0.8803,0.57321,0.37562,0.45661,0.26789,1.38097,0.976,1.09712,0.0004085,0.0004085,0.0004085
19,1108.83,0.71379,0.48229,0.87583,0.51603,0.43842,0.4738,0.27569,1.31342,1.00495,1.06462,0.000359,0.000359,0.000359
20,1174.78,0.68954,0.46899,0.86648,0.48592,0.43944,0.46822,0.26934,1.3185,0.97773,1.06792,0.0003095,0.0003095,0.0003095
21,1230.78,0.69241,0.46512,0.86752,0.52215,0.44007,0.48078,0.27406,1.34342,0.96222,1.07231,0.00026,0.00026,0.00026
22,1302.8,0.67255,0.45852,0.86465,0.49966,0.42138,0.47496,0.27867,1.3222,0.97131,1.06633,0.0002105,0.0002105,0.0002105
23,1358.77,0.65732,0.44815,0.85955,0.48028,0.46345,0.47062,0.27146,1.3487,0.98462,1.08357,0.000161,0.000161,0.000161
24,1440.93,0.6417,0.43753,0.85401,0.47741,0.46666,0.46926,0.27319,1.36679,1.00012,1.0932,0.0001115,0.0001115,0.0001115
25,1496.52,0.63724,0.43273,0.85624,0.4437,0.47054,0.46581,0.27241,1.37099,1.00372,1.09248,6.2e-05,6.2e-05,6.2e-05
