epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,486.239,1.22741,1.21681,1.03153,0.77521,0.56748,0.63079,0.36588,1.26964,1.02873,1.05476,0.00333263,0.00333263,0.00333263
2,958.676,0.97388,0.71016,0.92705,0.77137,0.58314,0.66792,0.41474,1.19518,0.86355,1.03066,0.00640199,0.00640199,0.00640199
3,1425.98,0.93308,0.62807,0.91334,0.70744,0.5776,0.62548,0.3829,1.26634,0.86116,1.05781,0.00920736,0.00920736,0.00920736
4,1890.77,0.86256,0.56794,0.89628,0.63961,0.61362,0.63213,0.39927,1.23064,0.82669,1.05373,0.008812,0.008812,0.008812
5,2356.41,0.78045,0.51221,0.87793,0.74939,0.59405,0.63419,0.38219,1.23238,0.86382,1.03732,0.008416,0.008416,0.008416
6,2821.35,0.72831,0.47781,0.86574,0.76854,0.60151,0.64709,0.40281,1.23008,0.83847,1.03568,0.00802,0.00802,0.00802
7,3286.1,0.7005,0.45903,0.85955,0.74433,0.60025,0.6416,0.39844,1.27304,0.84711,1.05865,0.007624,0.007624,0.007624
8,3751.02,0.6726,0.44161,0.85383,0.73858,0.60848,0.65109,0.41552,1.25517,0.8343,1.05495,0.007228,0.007228,0.007228
9,4216.28,0.65437,0.4291,0.85005,0.70314,0.61441,0.64398,0.41647,1.27246,0.84682,1.06385,0.006832,0.006832,0.006832
10,4681.4,0.63584,0.41873,0.84635,0.7281,0.63035,0.64838,0.4163,1.27898,0.85577,1.06484,0.006436,0.006436,0.006436
11,5146.05,0.62256,0.40927,0.84351,0.74835,0.62304,0.64894,0.41627,1.29073,0.87136,1.06963,0.00604,0.00604,0.00604
12,5610.71,0.60985,0.4018,0.84067,0.76215,0.61945,0.65128,0.41813,1.28994,0.8764,1.06964,0.005644,0.005644,0.005644
13,6076.27,0.59737,0.39343,0.83891,0.76798,0.61338,0.65215,0.41916,1.28924,0.87502,1.07118,0.005248,0.005248,0.005248
14,6541.73,0.58311,0.38536,0.83595,0.7622,0.61788,0.65444,0.4208,1.28781,0.87314,1.07164,0.004852,0.004852,0.004852
15,7006.82,0.57451,0.38063,0.83388,0.76717,0.619,0.65579,0.42163,1.29134,0.87419,1.07273,0.004456,0.004456,0.004456
16,7454.68,0.52022,0.34892,0.81912,0.76803,0.62122,0.65409,0.42157,1.29193,0.87263,1.07439,0.00406,0.00406,0.00406
17,7901.41,0.49968,0.33829,0.81542,0.76848,0.62406,0.65392,0.42236,1.29232,0.86986,1.07568,0.003664,0.003664,0.003664
18,8348.8,0.48492,0.33016,0.81287,0.76466,0.62507,0.65232,0.42238,1.29251,0.87246,1.0763,0.003268,0.003268,0.003268
19,8796.22,0.47255,0.32292,0.8113,0.76192,0.62777,0.65323,0.42333,1.29162,0.87494,1.0756,0.002872,0.002872,0.002872
20,9242.46,0.45933,0.31446,0.80873,0.76214,0.6275,0.65407,0.42451,1.28724,0.87449,1.07367,0.002476,0.002476,0.002476
21,9689.59,0.44823,0.30815,0.80717,0.76157,0.62483,0.65416,0.42441,1.28508,0.8767,1.07225,0.00208,0.00208,0.00208
22,10136.4,0.4348,0.30046,0.80472,0.75766,0.62423,0.65393,0.42155,1.28335,0.87968,1.07117,0.001684,0.001684,0.001684
23,10583.8,0.42324,0.29295,0.80369,0.76085,0.62104,0.65487,0.42058,1.28098,0.88335,1.07044,0.001288,0.001288,0.001288
24,11031,0.40985,0.2858,0.80172,0.75912,0.62143,0.65505,0.42107,1.27687,0.88481,1.06967,0.000892,0.000892,0.000892
25,11477.7,0.39957,0.27963,0.80018,0.76429,0.61653,0.65497,0.42129,1.27443,0.88968,1.0695,0.000496,0.000496,0.000496
