epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.7302,1.88546,3.11823,1.22466,0.92527,0.02704,0.11413,0.06181,1.52027,3.49066,1.05405,0.000407986,0.000407986,0.000407986
2,78.2547,1.73107,1.75451,1.19783,0.91298,0.12373,0.32651,0.18656,1.54138,2.29732,1.09524,0.000791997,0.000791997,0.000791997
3,118.875,1.66425,1.53479,1.17703,0.56823,0.50255,0.40858,0.21678,1.51928,1.56499,1.12249,0.00114301,0.00114301,0.00114301
4,158.787,1.60261,1.42166,1.1675,0.76931,0.49308,0.58931,0.31959,1.44332,1.37068,1.084,0.0011015,0.0011015,0.0011015
5,198.25,1.55716,1.30352,1.12514,0.72543,0.51672,0.61511,0.35219,1.42309,1.29311,1.10056,0.001052,0.001052,0.001052
6,236.856,1.4681,1.2286,1.11051,0.70563,0.54971,0.56526,0.30772,1.45966,1.17371,1.08602,0.0010025,0.0010025,0.0010025
7,274.645,1.41675,1.15268,1.0889,0.74564,0.51943,0.59598,0.33023,1.41444,1.0601,1.09555,0.000953,0.000953,0.000953
8,312.048,1.37263,1.09491,1.07482,0.65489,0.55039,0.58557,0.2858,1.39371,1.04187,1.07404,0.0009035,0.0009035,0.0009035
9,349.49,1.41919,1.1059,1.078,0.60631,0.55309,0.54976,0.29587,1.39211,1.03055,1.08083,0.000854,0.000854,0.000854
10,386.535,1.34115,1.04664,1.04381,0.73457,0.53877,0.594,0.32919,1.43952,1.01863,1.08506,0.0008045,0.0008045,0.0008045
11,423.477,1.36137,1.03945,1.0536,0.77671,0.53706,0.61161,0.34727,1.38493,1.00906,1.0621,0.000755,0.000755,0.000755
12,460.742,1.27625,0.97229,1.03225,0.67948,0.56158,0.59546,0.34185,1.38585,1.02426,1.07921,0.0007055,0.0007055,0.0007055
13,497.682,1.25483,0.97464,1.02332,0.77164,0.56436,0.65543,0.34561,1.40965,0.97106,1.08653,0.000656,0.000656,0.000656
14,534.386,1.22742,0.93215,1.00092,0.84908,0.53545,0.63571,0.35168,1.37403,0.95774,1.0786,0.0006065,0.0006065,0.0006065
15,571.009,1.22058,0.9127,0.99984,0.74511,0.5594,0.6082,0.33293,1.38393,0.97284,1.07533,0.000557,0.000557,0.000557
16,608.4,1.15073,0.91714,0.98541,0.77046,0.55788,0.60247,0.34674,1.34529,0.96614,1.05926,0.0005075,0.0005075,0.0005075
17,644.921,1.13036,0.86175,0.97816,0.76257,0.56098,0.60203,0.3446,1.3699,0.97047,1.06797,0.000458,0.000458,0.000458
18,681.744,1.09792,0.82504,0.96162,0.75864,0.57876,0.60823,0.34868,1.37356,0.97391,1.08295,0.0004085,0.0004085,0.0004085
19,718.134,1.05655,0.80006,0.94866,0.74288,0.56778,0.64047,0.35922,1.36932,0.94085,1.07677,0.000359,0.000359,0.000359
20,754.763,1.04763,0.7969,0.95534,0.73601,0.5653,0.63968,0.3474,1.35055,0.91859,1.06299,0.0003095,0.0003095,0.0003095
21,791.25,1.02977,0.77294,0.94118,0.70836,0.5619,0.6362,0.35107,1.36795,0.91452,1.06949,0.00026,0.00026,0.00026
22,827.586,1.02869,0.76809,0.93754,0.70143,0.56749,0.60219,0.33663,1.36334,0.94423,1.07079,0.0002105,0.0002105,0.0002105
23,863.966,0.98193,0.73966,0.93517,0.70735,0.57031,0.62162,0.3532,1.35282,0.9233,1.07037,0.000161,0.000161,0.000161
24,900.372,0.99609,0.75166,0.93908,0.69615,0.57405,0.60639,0.34222,1.35209,0.9281,1.06879,0.0001115,0.0001115,0.0001115
25,936.716,0.98475,0.73397,0.93211,0.67733,0.57671,0.60774,0.34263,1.35,0.92288,1.06922,6.2e-05,6.2e-05,6.2e-05
