epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.9525,1.88366,3.12064,1.24179,0.8764,0.06697,0.10661,0.05996,1.50104,3.52857,1.05311,0.000407986,0.000407986,0.000407986
2,80.7052,1.70838,1.74273,1.19522,0.87954,0.09766,0.25354,0.14989,1.54633,2.6577,1.10416,0.000791997,0.000791997,0.000791997
3,120.418,1.66449,1.54449,1.18251,0.48732,0.27667,0.38806,0.18299,1.574,1.83521,1.1409,0.00114301,0.00114301,0.00114301
4,160.702,1.60766,1.43439,1.17449,0.41661,0.5183,0.42949,0.22805,1.49823,1.39209,1.11628,0.0011015,0.0011015,0.0011015
5,200.78,1.54287,1.29628,1.12519,0.50885,0.33815,0.44752,0.24872,1.36084,1.25116,1.09105,0.001052,0.001052,0.001052
6,240.046,1.4586,1.24667,1.11318,0.60299,0.38639,0.45138,0.2614,1.34793,1.24893,1.08678,0.0010025,0.0010025,0.0010025
7,279.677,1.39557,1.14749,1.08431,0.65619,0.52371,0.51867,0.28008,1.35264,1.14854,1.07445,0.000953,0.000953,0.000953
8,319.164,1.37452,1.10505,1.08056,0.64242,0.52564,0.51879,0.29276,1.34731,1.08049,1.07656,0.0009035,0.0009035,0.0009035
9,358.908,1.38956,1.09009,1.07596,0.54382,0.48214,0.48118,0.26381,1.36591,1.15088,1.06198,0.000854,0.000854,0.000854
10,398.562,1.34213,1.05179,1.04941,0.76877,0.5072,0.57194,0.32346,1.45633,1.14679,1.10622,0.0008045,0.0008045,0.0008045
11,438.058,1.35351,1.03192,1.05254,0.75829,0.52289,0.57209,0.3466,1.33644,1.02359,1.06283,0.000755,0.000755,0.000755
12,477.677,1.25728,0.96361,1.03431,0.65716,0.52456,0.55278,0.32682,1.28668,1.00046,1.05057,0.0007055,0.0007055,0.0007055
13,517.326,1.23155,0.94869,1.01889,0.58962,0.55378,0.57367,0.31963,1.43244,1.04836,1.08936,0.000656,0.000656,0.000656
14,557.005,1.23322,0.91781,1.00384,0.66303,0.51836,0.54815,0.30257,1.40408,0.99447,1.09091,0.0006065,0.0006065,0.0006065
15,596.36,1.19438,0.88449,0.99757,0.72139,0.55738,0.60511,0.33226,1.36416,0.93247,1.07799,0.000557,0.000557,0.000557
16,636.159,1.1396,0.903,0.98709,0.67014,0.55662,0.56371,0.32078,1.30392,0.97304,1.07719,0.0005075,0.0005075,0.0005075
17,675.602,1.10084,0.85013,0.97173,0.70121,0.55098,0.56877,0.31779,1.33168,0.96932,1.07744,0.000458,0.000458,0.000458
18,714.801,1.06418,0.80482,0.95839,0.6617,0.56148,0.60531,0.33157,1.29527,0.94804,1.04774,0.0004085,0.0004085,0.0004085
19,753.563,1.03091,0.77679,0.94698,0.61455,0.58776,0.61694,0.35686,1.27685,0.92804,1.04621,0.000359,0.000359,0.000359
20,792.229,1.00871,0.76924,0.94684,0.67019,0.58238,0.61871,0.34454,1.32053,0.90507,1.05846,0.0003095,0.0003095,0.0003095
21,830.891,0.99308,0.74367,0.93713,0.79565,0.49725,0.60598,0.3333,1.29604,0.91217,1.06399,0.00026,0.00026,0.00026
22,869.584,0.99365,0.73525,0.93279,0.6618,0.58457,0.62044,0.33962,1.3215,0.92454,1.06716,0.0002105,0.0002105,0.0002105
23,907.98,0.94295,0.70319,0.9286,0.7044,0.50816,0.6026,0.33223,1.32956,0.91845,1.07821,0.000161,0.000161,0.000161
24,946.574,0.94252,0.70316,0.9257,0.62562,0.58795,0.6188,0.34415,1.30843,0.89575,1.06383,0.0001115,0.0001115,0.0001115
25,985.237,0.92642,0.69624,0.91947,0.72605,0.51587,0.61153,0.3424,1.29595,0.8864,1.06576,6.2e-05,6.2e-05,6.2e-05
