epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.7971,1.89645,3.1353,1.23083,0.01401,0.23079,0.09176,0.05002,1.51804,3.5194,1.06201,0.000407986,0.000407986,0.000407986
2,78.0114,1.73043,1.76332,1.20154,0.98291,0.10226,0.24302,0.1419,1.53714,2.32404,1.11229,0.000791997,0.000791997,0.000791997
3,118.51,1.66892,1.57321,1.18119,0.59075,0.23023,0.26954,0.14302,1.45959,1.51906,1.09982,0.00114301,0.00114301,0.00114301
4,158.439,1.59706,1.44957,1.16533,0.8016,0.39207,0.4184,0.22823,1.42695,1.3676,1.0645,0.0011015,0.0011015,0.0011015
5,198.32,1.5809,1.35041,1.13808,0.76921,0.38003,0.42014,0.23998,1.46976,1.29499,1.10946,0.001052,0.001052,0.001052
6,236.54,1.47751,1.25455,1.11574,0.84189,0.40344,0.46301,0.24,1.43091,1.17759,1.07981,0.0010025,0.0010025,0.0010025
7,275.273,1.41812,1.17821,1.08872,0.70632,0.40919,0.39835,0.19591,1.4048,1.16694,1.08215,0.000953,0.000953,0.000953
8,312.828,1.37791,1.11955,1.07035,0.76077,0.42067,0.45075,0.22988,1.40096,1.08606,1.0737,0.0009035,0.0009035,0.0009035
9,350.59,1.40697,1.12541,1.07317,0.67695,0.41708,0.41672,0.23364,1.39949,1.09473,1.08171,0.000854,0.000854,0.000854
10,387.795,1.35818,1.06911,1.0488,0.75655,0.40451,0.44029,0.22715,1.46944,1.1103,1.10833,0.0008045,0.0008045,0.0008045
11,424.955,1.36078,1.05779,1.05294,0.75736,0.42004,0.44821,0.26291,1.39976,1.01949,1.07083,0.000755,0.000755,0.000755
12,462.353,1.28496,0.99181,1.03454,0.73789,0.43059,0.46842,0.26676,1.37038,1.0411,1.07395,0.0007055,0.0007055,0.0007055
13,499.504,1.25831,0.99826,1.02208,0.53743,0.42182,0.48139,0.26843,1.38393,0.99977,1.08116,0.000656,0.000656,0.000656
14,536.51,1.23619,0.95351,1.00241,0.53522,0.40285,0.45512,0.26073,1.32705,0.99341,1.06708,0.0006065,0.0006065,0.0006065
15,573.204,1.21954,0.92353,1.00156,0.50507,0.41725,0.44039,0.25231,1.36198,1.01013,1.06832,0.000557,0.000557,0.000557
16,610.703,1.1518,0.91806,0.98712,0.60573,0.40951,0.48197,0.25597,1.41677,1.00594,1.08706,0.0005075,0.0005075,0.0005075
17,647.402,1.12582,0.86363,0.97644,0.59483,0.4092,0.47893,0.26467,1.37405,0.98841,1.06477,0.000458,0.000458,0.000458
18,684.254,1.08896,0.83571,0.96117,0.55425,0.43663,0.4847,0.2865,1.33988,0.97857,1.06401,0.0004085,0.0004085,0.0004085
19,720.709,1.05732,0.8115,0.94943,0.58168,0.41059,0.4778,0.2666,1.35285,0.97492,1.07067,0.000359,0.000359,0.000359
20,757.049,1.0543,0.80243,0.9564,0.53671,0.42609,0.47937,0.26331,1.36524,0.96219,1.06621,0.0003095,0.0003095,0.0003095
21,793.601,1.02919,0.78553,0.94343,0.52574,0.42745,0.47957,0.26823,1.36617,0.96662,1.07643,0.00026,0.00026,0.00026
22,830.027,1.03707,0.77676,0.94139,0.54487,0.41805,0.46495,0.26823,1.36875,0.97308,1.06851,0.0002105,0.0002105,0.0002105
23,866.524,0.98598,0.7471,0.9355,0.54897,0.42509,0.46455,0.26955,1.36723,0.96737,1.08385,0.000161,0.000161,0.000161
24,902.978,0.99735,0.75694,0.93662,0.52628,0.43037,0.45735,0.26461,1.38247,0.97014,1.08328,0.0001115,0.0001115,0.0001115
25,939.38,0.98487,0.74217,0.93361,0.5328,0.42694,0.46051,0.26872,1.37241,0.96263,1.07941,6.2e-05,6.2e-05,6.2e-05
