epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.6612,1.8873,2.25185,1.36928,0.45387,0.25134,0.31543,0.19226,1.29818,1.30707,1.06179,3.88403e-05,3.88403e-05,3.88403e-05
2,80.607,1.64793,1.25371,1.23137,0.49148,0.35246,0.38624,0.22111,1.26723,1.08861,1.03243,7.53981e-05,7.53981e-05,7.53981e-05
3,120.085,1.57897,1.14101,1.18519,0.82392,0.41771,0.46251,0.26472,1.26824,0.99402,1.03277,0.000108814,0.000108814,0.000108814
4,159.203,1.5161,1.09804,1.16688,0.80362,0.38364,0.44081,0.26243,1.28608,1.01099,1.0321,0.000104863,0.000104863,0.000104863
5,198.306,1.50751,1.04865,1.13104,0.52326,0.41696,0.45529,0.27371,1.26805,0.983,1.03145,0.00010015,0.00010015,0.00010015
6,237.306,1.4068,0.97896,1.11011,0.52495,0.41635,0.45575,0.27347,1.30119,1.00248,1.03469,9.5438e-05,9.5438e-05,9.5438e-05
7,276.482,1.37935,0.95638,1.0951,0.5686,0.40779,0.46397,0.27387,1.27266,0.95783,1.0278,9.07256e-05,9.07256e-05,9.07256e-05
8,315.706,1.38134,0.94783,1.09688,0.52628,0.41972,0.45845,0.27958,1.2261,0.93813,1.0246,8.60132e-05,8.60132e-05,8.60132e-05
9,355.222,1.39288,0.9538,1.08847,0.53094,0.42121,0.46514,0.2783,1.25015,0.94755,1.03288,8.13008e-05,8.13008e-05,8.13008e-05
10,394.555,1.35559,0.92612,1.07047,0.52432,0.41235,0.45749,0.27816,1.26019,0.95581,1.03029,7.65884e-05,7.65884e-05,7.65884e-05
11,433.999,1.37269,0.93587,1.07361,0.54643,0.39873,0.44818,0.27231,1.27343,0.96313,1.03401,7.1876e-05,7.1876e-05,7.1876e-05
12,473.096,1.27981,0.88935,1.05076,0.5144,0.41077,0.45149,0.27288,1.2577,0.94869,1.02684,6.71636e-05,6.71636e-05,6.71636e-05
13,512.28,1.27402,0.88499,1.04355,0.54747,0.40707,0.46131,0.27676,1.26261,0.94003,1.02629,6.24512e-05,6.24512e-05,6.24512e-05
14,551.292,1.26446,0.87929,1.03276,0.5357,0.40962,0.45832,0.27689,1.2576,0.93034,1.02089,5.77388e-05,5.77388e-05,5.77388e-05
15,590.477,1.25344,0.85507,1.02269,0.53388,0.42537,0.4643,0.28169,1.25481,0.91798,1.02084,5.30264e-05,5.30264e-05,5.30264e-05
16,630.517,1.22999,0.85177,1.02653,0.54142,0.43536,0.47532,0.28606,1.26944,0.88817,1.03052,4.8314e-05,4.8314e-05,4.8314e-05
17,669.593,1.18805,0.8193,1.00954,0.50537,0.43659,0.47022,0.29012,1.24033,0.87541,1.01858,4.36016e-05,4.36016e-05,4.36016e-05
18,708.953,1.16686,0.79983,0.99686,0.52136,0.43129,0.46963,0.29007,1.251,0.87384,1.01894,3.88892e-05,3.88892e-05,3.88892e-05
19,748.053,1.15616,0.78823,0.98982,0.52488,0.42728,0.47086,0.28676,1.24798,0.87085,1.02122,3.41768e-05,3.41768e-05,3.41768e-05
20,786.986,1.151,0.78826,0.99785,0.53499,0.429,0.4733,0.28369,1.24801,0.88052,1.02096,2.94644e-05,2.94644e-05,2.94644e-05
21,826.048,1.14464,0.77953,0.99419,0.52844,0.43826,0.4758,0.28546,1.24659,0.88094,1.01965,2.4752e-05,2.4752e-05,2.4752e-05
22,865.01,1.16244,0.77531,0.99159,0.50963,0.42983,0.46793,0.27967,1.23853,0.87267,1.01378,2.00396e-05,2.00396e-05,2.00396e-05
23,904.084,1.10611,0.74748,0.98351,0.508,0.42644,0.46524,0.28134,1.24304,0.87113,1.01686,1.53272e-05,1.53272e-05,1.53272e-05
24,942.847,1.13385,0.77007,0.99274,0.53743,0.42609,0.4726,0.28572,1.24351,0.87211,1.01968,1.06148e-05,1.06148e-05,1.06148e-05
25,982.079,1.13662,0.76884,0.98819,0.53798,0.43225,0.4753,0.28829,1.24487,0.87508,1.01815,5.9024e-06,5.9024e-06,5.9024e-06
