epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.7788,1.18707,1.3083,1.06879,0.77871,0.44502,0.48541,0.29378,1.1201,0.91586,1.04687,0.000275047,0.000275047,0.000275047
2,40.184,1.15559,1.04104,1.05829,0.82084,0.46801,0.53009,0.32835,1.09883,0.93227,1.03978,0.000530826,0.000530826,0.000530826
3,59.4656,1.14174,0.96052,1.05615,0.66885,0.5091,0.58008,0.36024,1.05963,0.82659,1.03498,0.000764614,0.000764614,0.000764614
4,78.211,1.1115,0.90308,1.04638,0.70608,0.54729,0.59548,0.36254,1.08413,0.78684,1.04944,0.00073404,0.00073404,0.00073404
5,96.9121,1.09729,0.85506,1.04107,0.53517,0.60267,0.60244,0.37841,1.04436,0.75312,1.0391,0.000701053,0.000701053,0.000701053
6,115.343,1.06878,0.82088,1.03357,0.55706,0.64946,0.63725,0.40228,1.06196,0.75305,1.02763,0.000668066,0.000668066,0.000668066
7,133.857,1.06206,0.79411,1.02757,0.64634,0.6352,0.66566,0.42702,1.0108,0.71244,1.0172,0.000635079,0.000635079,0.000635079
8,152.304,1.0659,0.77174,1.02732,0.61813,0.64405,0.65162,0.41863,1.02094,0.70416,1.02068,0.000602092,0.000602092,0.000602092
9,170.531,1.03933,0.74878,1.01584,0.67278,0.66658,0.69325,0.44426,1.00861,0.67767,1.02248,0.000569106,0.000569106,0.000569106
10,189.058,1.03464,0.72277,1.01587,0.7558,0.64723,0.72357,0.47254,0.99759,0.64935,1.01632,0.000536119,0.000536119,0.000536119
11,207.16,1.01189,0.7085,1.0081,0.74871,0.67036,0.71502,0.46563,1.00151,0.66699,1.01337,0.000503132,0.000503132,0.000503132
12,225.32,1.00797,0.69961,1.00862,0.72118,0.66266,0.71269,0.46806,0.98739,0.62998,1.01077,0.000470145,0.000470145,0.000470145
13,243.202,1.00725,0.68293,1.00845,0.74852,0.65562,0.73095,0.48595,0.98469,0.63442,1.00611,0.000437158,0.000437158,0.000437158
14,261.309,0.989,0.66661,1.00233,0.74678,0.68809,0.73538,0.48355,0.97507,0.62094,1.01103,0.000404172,0.000404172,0.000404172
15,279.63,0.98848,0.65973,0.99946,0.76701,0.68914,0.7514,0.50222,0.96464,0.60346,0.99761,0.000371185,0.000371185,0.000371185
16,299.197,0.95102,0.64061,0.99488,0.74101,0.66739,0.73231,0.47996,0.98554,0.61974,1.0119,0.000338198,0.000338198,0.000338198
17,316.909,0.93821,0.6103,0.98578,0.79076,0.67719,0.7574,0.50181,0.98672,0.59908,1.00909,0.000305211,0.000305211,0.000305211
18,334.799,0.93101,0.59958,0.97952,0.75833,0.71176,0.767,0.50862,0.96922,0.59764,1.00272,0.000272224,0.000272224,0.000272224
19,352.613,0.91986,0.58443,0.97554,0.80382,0.70169,0.77744,0.51639,0.94859,0.58088,0.99571,0.000239238,0.000239238,0.000239238
20,370.565,0.90522,0.57145,0.97314,0.78066,0.71505,0.77994,0.52173,0.94894,0.58008,0.99705,0.000206251,0.000206251,0.000206251
21,388.261,0.89707,0.56235,0.9704,0.79965,0.71541,0.78335,0.52617,0.93898,0.57017,0.99256,0.000173264,0.000173264,0.000173264
22,405.989,0.88641,0.552,0.96451,0.79115,0.73086,0.79064,0.53496,0.93936,0.55938,0.99209,0.000140277,0.000140277,0.000140277
23,423.713,0.87612,0.54497,0.95925,0.80961,0.71914,0.7911,0.53815,0.93454,0.56105,0.99139,0.00010729,0.00010729,0.00010729
24,441.404,0.86888,0.53698,0.95652,0.78832,0.73695,0.79631,0.5423,0.92846,0.55364,0.98778,7.43036e-05,7.43036e-05,7.43036e-05
25,459.302,0.85988,0.52936,0.95627,0.79317,0.74806,0.79937,0.54422,0.92786,0.54745,0.98911,4.13168e-05,4.13168e-05,4.13168e-05
