epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.5353,1.30832,1.44811,1.10491,0.84415,0.39024,0.44427,0.26717,1.10972,0.96217,1.03935,0.000274744,0.000274744,0.000274744
2,33.9336,1.2561,1.14777,1.08604,0.78467,0.45021,0.50166,0.30089,1.12682,0.9329,1.05458,0.000530535,0.000530535,0.000530535
3,50.2182,1.23468,1.06984,1.09107,0.82437,0.48123,0.57602,0.3537,1.10761,0.89041,1.04474,0.000764335,0.000764335,0.000764335
4,66.1156,1.24377,1.03145,1.09484,0.84692,0.52048,0.60939,0.37669,1.07907,0.78829,1.04934,0.00073404,0.00073404,0.00073404
5,82.1204,1.19892,0.95959,1.07947,0.58626,0.6175,0.61283,0.38016,1.07477,0.78293,1.04919,0.000701053,0.000701053,0.000701053
6,97.8196,1.19199,0.92566,1.07728,0.69287,0.56922,0.62567,0.39412,1.06072,0.74132,1.03405,0.000668066,0.000668066,0.000668066
7,113.561,1.17851,0.87914,1.06941,0.64993,0.63436,0.67408,0.43064,1.031,0.71721,1.02691,0.000635079,0.000635079,0.000635079
8,129.236,1.14469,0.85333,1.05785,0.71041,0.607,0.66138,0.42143,1.04202,0.72622,1.02489,0.000602092,0.000602092,0.000602092
9,144.924,1.13834,0.83377,1.04815,0.71986,0.64105,0.70206,0.45511,1.02135,0.68711,1.01571,0.000569106,0.000569106,0.000569106
10,160.538,1.13151,0.80903,1.04659,0.65379,0.63065,0.67113,0.42742,1.03373,0.68947,1.02908,0.000536119,0.000536119,0.000536119
11,176.055,1.13176,0.78468,1.04678,0.68574,0.68567,0.71914,0.47371,1.00662,0.65858,1.01869,0.000503132,0.000503132,0.000503132
12,191.494,1.11341,0.77025,1.03992,0.75374,0.64421,0.71202,0.46746,1.0043,0.65264,1.01891,0.000470145,0.000470145,0.000470145
13,206.917,1.0975,0.75226,1.03671,0.73519,0.66957,0.73,0.47562,1.00808,0.62916,1.01518,0.000437158,0.000437158,0.000437158
14,222.483,1.08381,0.73165,1.03018,0.74837,0.64645,0.71691,0.46715,1.00099,0.63985,1.01805,0.000404172,0.000404172,0.000404172
15,238.033,1.07159,0.71873,1.02745,0.78771,0.64741,0.73023,0.48062,0.97928,0.63162,1.01193,0.000371185,0.000371185,0.000371185
16,254.864,1.05462,0.71022,1.02956,0.71884,0.68093,0.73362,0.47513,1.01505,0.63523,1.0234,0.000338198,0.000338198,0.000338198
17,269.962,1.04348,0.69328,1.02201,0.74477,0.65932,0.73001,0.47538,0.99825,0.62158,1.01763,0.000305211,0.000305211,0.000305211
18,285.1,1.03323,0.66818,1.01827,0.77185,0.66803,0.74617,0.48958,0.99195,0.61657,1.01007,0.000272224,0.000272224,0.000272224
19,300.216,1.01326,0.65233,1.00669,0.70569,0.70551,0.74159,0.48939,0.97101,0.60513,1.00609,0.000239238,0.000239238,0.000239238
20,315.521,1.00388,0.64034,1.00682,0.70156,0.71231,0.74507,0.49089,0.97342,0.59771,1.00867,0.000206251,0.000206251,0.000206251
21,330.574,0.99423,0.62883,1.00024,0.76551,0.71281,0.76222,0.50793,0.9619,0.58882,1.00239,0.000173264,0.000173264,0.000173264
22,345.696,0.98629,0.61309,0.99698,0.78874,0.6849,0.75988,0.50224,0.96428,0.59042,1.00143,0.000140277,0.000140277,0.000140277
23,360.757,0.97274,0.60163,0.99294,0.76938,0.69929,0.76026,0.50652,0.96384,0.58079,0.99889,0.00010729,0.00010729,0.00010729
24,375.789,0.95461,0.5928,0.98672,0.78917,0.70743,0.76924,0.51797,0.9527,0.56817,0.99682,7.43036e-05,7.43036e-05,7.43036e-05
25,391.022,0.95335,0.58633,0.98503,0.77179,0.71712,0.76996,0.51385,0.95731,0.5679,0.9985,4.13168e-05,4.13168e-05,4.13168e-05
