epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.7847,1.23434,1.44503,1.07943,0.84372,0.3632,0.41185,0.25135,1.12151,1.01488,1.05173,0.000272222,0.000272222,0.000272222
2,45.2987,1.20863,1.21316,1.07954,0.75461,0.43185,0.4707,0.28195,1.14896,0.96771,1.05564,0.000528113,0.000528113,0.000528113
3,67.1693,1.227,1.23311,1.10675,0.78869,0.43809,0.4904,0.3017,1.09444,1.00695,1.05806,0.000762013,0.000762013,0.000762013
4,88.5747,1.19739,1.12187,1.09414,0.65977,0.44906,0.50813,0.3083,1.09244,0.94078,1.05505,0.00073404,0.00073404,0.00073404
5,109.819,1.16484,1.00886,1.07552,0.82364,0.46044,0.53173,0.32253,1.10877,0.88836,1.06148,0.000701053,0.000701053,0.000701053
6,130.642,1.14896,0.98544,1.07151,0.66995,0.48865,0.5232,0.31916,1.1423,0.89473,1.06453,0.000668066,0.000668066,0.000668066
7,151.525,1.14664,0.95433,1.06647,0.75738,0.53106,0.60815,0.38001,1.07457,0.79629,1.04697,0.000635079,0.000635079,0.000635079
8,172.545,1.08995,0.90789,1.0436,0.8037,0.53314,0.60538,0.37932,1.05328,0.7775,1.04035,0.000602092,0.000602092,0.000602092
9,193.399,1.06902,0.86628,1.03966,0.73149,0.56039,0.6275,0.3987,1.06213,0.78131,1.04455,0.000569106,0.000569106,0.000569106
10,214.251,1.10578,0.87354,1.03334,0.64512,0.60079,0.62339,0.39505,1.06328,0.80369,1.05086,0.000536119,0.000536119,0.000536119
11,234.807,1.06898,0.83142,1.04715,0.618,0.61954,0.63694,0.40236,1.02995,0.73463,1.03029,0.000503132,0.000503132,0.000503132
12,255.44,1.04501,0.80701,1.02427,0.71112,0.61891,0.67672,0.43156,1.04679,0.71346,1.0322,0.000470145,0.000470145,0.000470145
13,276.243,1.06016,0.81265,1.02501,0.76074,0.6009,0.65883,0.41211,1.0402,0.73735,1.03673,0.000437158,0.000437158,0.000437158
14,296.66,1.05848,0.7966,1.0229,0.68345,0.64406,0.6887,0.44406,1.01854,0.68203,1.02682,0.000404172,0.000404172,0.000404172
15,317.122,1.01932,0.77702,1.00921,0.7206,0.64305,0.69951,0.45266,1.0034,0.66619,1.02205,0.000371185,0.000371185,0.000371185
16,338.184,0.99773,0.78512,1.01197,0.61684,0.6432,0.66259,0.41768,1.05137,0.7181,1.03642,0.000338198,0.000338198,0.000338198
17,358.784,0.98207,0.75031,1.00439,0.66915,0.66345,0.6914,0.44104,1.01991,0.67716,1.03466,0.000305211,0.000305211,0.000305211
18,379.315,0.9494,0.71144,0.99084,0.72415,0.62289,0.69888,0.44988,1.01252,0.66713,1.02499,0.000272224,0.000272224,0.000272224
19,399.817,0.96202,0.70332,0.99262,0.72873,0.67258,0.71983,0.46471,1.00397,0.65917,1.02447,0.000239238,0.000239238,0.000239238
20,420.46,0.95658,0.69928,0.99654,0.72703,0.68651,0.73155,0.47607,0.99577,0.64515,1.02279,0.000206251,0.000206251,0.000206251
21,441.11,0.9363,0.68021,0.98606,0.7038,0.71465,0.73582,0.4804,0.998,0.64276,1.0204,0.000173264,0.000173264,0.000173264
22,461.732,0.97639,0.69185,0.99715,0.73795,0.69453,0.7369,0.48524,0.98901,0.63443,1.01776,0.000140277,0.000140277,0.000140277
23,482.146,0.95121,0.68531,0.99247,0.7485,0.68911,0.73847,0.48511,0.9786,0.63109,1.01174,0.00010729,0.00010729,0.00010729
24,502.414,0.90563,0.64735,0.97089,0.72865,0.70918,0.73846,0.48893,0.97018,0.61853,1.00907,7.43036e-05,7.43036e-05,7.43036e-05
25,522.818,0.91101,0.63392,0.96209,0.7468,0.70681,0.74218,0.49365,0.97081,0.61885,1.00924,4.13168e-05,4.13168e-05,4.13168e-05
