epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.2005,1.182,1.29048,1.0663,0.77138,0.43168,0.46387,0.27941,1.09641,0.94164,1.04131,0.000275595,0.000275595,0.000275595
2,703.45,1.14617,1.05999,1.05419,0.81381,0.46801,0.52548,0.32425,1.06459,0.84869,1.0443,0.000531352,0.000531352,0.000531352
3,723.408,1.13882,0.98226,1.06158,0.84947,0.47101,0.56259,0.34326,1.09064,0.82523,1.05723,0.000765118,0.000765118,0.000765118
4,743.049,1.0827,0.89094,1.04351,0.71298,0.50156,0.53877,0.32653,1.07647,0.83824,1.04843,0.00073404,0.00073404,0.00073404
5,762.57,1.0693,0.85309,1.04161,0.61506,0.57803,0.61469,0.38233,1.02484,0.74748,1.02402,0.000701053,0.000701053,0.000701053
6,781.961,1.06766,0.81124,1.03663,0.71268,0.58553,0.62682,0.3971,1.01806,0.71451,1.02766,0.000668066,0.000668066,0.000668066
7,801.449,1.04934,0.77918,1.0295,0.73916,0.56133,0.61966,0.39539,1.00932,0.71819,1.02404,0.000635079,0.000635079,0.000635079
8,820.669,1.05146,0.76166,1.03044,0.66658,0.64175,0.67908,0.43668,1.01424,0.68639,1.02222,0.000602092,0.000602092,0.000602092
9,839.87,1.02905,0.73473,1.02213,0.65546,0.66183,0.68669,0.44213,1.00463,0.66101,1.02049,0.000569106,0.000569106,0.000569106
10,859.193,1.04486,0.71996,1.0352,0.6781,0.64783,0.69026,0.44175,0.98901,0.6513,1.01902,0.000536119,0.000536119,0.000536119
11,878.627,1.00714,0.68792,1.01161,0.69341,0.67143,0.70325,0.45675,0.98572,0.64499,1.01392,0.000503132,0.000503132,0.000503132
12,897.776,0.99012,0.68171,1.0097,0.73867,0.65776,0.71992,0.46833,0.97454,0.62205,1.01175,0.000470145,0.000470145,0.000470145
13,917.005,0.98031,0.65737,1.00273,0.73931,0.66188,0.72344,0.47438,0.97049,0.61482,1.00791,0.000437158,0.000437158,0.000437158
14,936.207,0.9942,0.66233,1.00951,0.75935,0.68241,0.73743,0.48321,0.96339,0.60081,1.00515,0.000404172,0.000404172,0.000404172
15,955.403,0.97702,0.64107,1.00098,0.77304,0.68012,0.74218,0.48876,0.95235,0.59582,1.00178,0.000371185,0.000371185,0.000371185
16,974.971,0.94438,0.61575,0.99133,0.74659,0.67201,0.73524,0.4834,0.9627,0.59785,1.0042,0.000338198,0.000338198,0.000338198
17,993.75,0.92844,0.59825,0.98551,0.7807,0.67608,0.74877,0.49699,0.96116,0.59073,1.00421,0.000305211,0.000305211,0.000305211
18,1012.53,0.91923,0.58408,0.98406,0.75219,0.69802,0.74395,0.49195,0.96003,0.59274,0.99954,0.000272224,0.000272224,0.000272224
19,1031.31,0.90555,0.57569,0.97736,0.7642,0.71389,0.77232,0.51317,0.94893,0.57874,0.99873,0.000239238,0.000239238,0.000239238
20,1050.27,0.89967,0.55823,0.97837,0.76391,0.71769,0.77588,0.51541,0.94869,0.56856,1.00192,0.000206251,0.000206251,0.000206251
21,1069.01,0.88527,0.55413,0.96998,0.78615,0.71965,0.78258,0.52603,0.92677,0.55529,0.99217,0.000173264,0.000173264,0.000173264
22,1087.8,0.88082,0.54149,0.96714,0.79401,0.72276,0.79364,0.53616,0.92384,0.55025,0.98944,0.000140277,0.000140277,0.000140277
23,1106.58,0.86701,0.53285,0.96346,0.78898,0.72322,0.7897,0.5325,0.92113,0.54784,0.98718,0.00010729,0.00010729,0.00010729
24,1125.38,0.86342,0.53162,0.96218,0.77352,0.73697,0.79384,0.53449,0.9185,0.54439,0.98844,7.43036e-05,7.43036e-05,7.43036e-05
25,1144.06,0.84039,0.50942,0.9545,0.77835,0.73568,0.7924,0.53699,0.9135,0.53945,0.98302,4.13168e-05,4.13168e-05,4.13168e-05
