epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.9269,1.22945,1.41844,1.08024,0.83139,0.37804,0.4434,0.26441,1.14015,1.021,1.04669,0.000273863,0.000273863,0.000273863
2,33.5022,1.17507,1.13758,1.06258,0.74463,0.46717,0.47584,0.28165,1.13365,0.95211,1.05022,0.000529689,0.000529689,0.000529689
3,49.1378,1.17206,1.06185,1.05756,0.63039,0.44836,0.48102,0.28124,1.1046,0.98047,1.06732,0.000763524,0.000763524,0.000763524
4,64.1968,1.14147,0.98519,1.04786,0.81218,0.4654,0.54438,0.33362,1.09774,0.88251,1.05697,0.00073404,0.00073404,0.00073404
5,79.4257,1.14673,0.95675,1.04729,0.80903,0.50463,0.5892,0.35962,1.07932,0.85084,1.04892,0.000701053,0.000701053,0.000701053
6,94.2208,1.11445,0.91501,1.05038,0.75697,0.50124,0.58031,0.35532,1.07842,0.82974,1.0581,0.000668066,0.000668066,0.000668066
7,108.986,1.11567,0.89048,1.03691,0.77024,0.52806,0.60035,0.3711,1.07549,0.78932,1.04626,0.000635079,0.000635079,0.000635079
8,123.729,1.10398,0.8561,1.04084,0.64322,0.59116,0.61493,0.37781,1.06051,0.76827,1.05353,0.000602092,0.000602092,0.000602092
9,138.316,1.0534,0.80097,1.02221,0.76695,0.56102,0.64433,0.40536,1.05978,0.74383,1.05068,0.000569106,0.000569106,0.000569106
10,152.974,1.04063,0.79033,1.01768,0.67557,0.64231,0.66362,0.42196,1.03405,0.73408,1.04551,0.000536119,0.000536119,0.000536119
11,167.57,1.05423,0.75987,1.02078,0.66699,0.63802,0.66055,0.41062,1.05752,0.7143,1.04537,0.000503132,0.000503132,0.000503132
12,182.141,1.04381,0.74567,1.02536,0.70162,0.58448,0.65372,0.42267,1.01771,0.7092,1.03184,0.000470145,0.000470145,0.000470145
13,196.736,1.04057,0.73124,1.01776,0.67946,0.62686,0.66896,0.41984,1.01528,0.68849,1.02973,0.000437158,0.000437158,0.000437158
14,211.18,1.03319,0.72296,1.01232,0.67273,0.6701,0.688,0.44378,1.00471,0.67322,1.0253,0.000404172,0.000404172,0.000404172
15,225.667,1.01559,0.69878,1.00503,0.71693,0.64559,0.69053,0.44619,1.00434,0.66603,1.02578,0.000371185,0.000371185,0.000371185
16,240.487,1.00391,0.71186,1.00797,0.72414,0.62007,0.67155,0.42463,1.0149,0.69608,1.03534,0.000338198,0.000338198,0.000338198
17,254.794,0.99136,0.68406,0.99591,0.68712,0.65369,0.68127,0.43454,1.01353,0.66609,1.02903,0.000305211,0.000305211,0.000305211
18,268.948,0.96795,0.65542,0.99506,0.727,0.64538,0.7012,0.45127,1.00621,0.65942,1.02225,0.000272224,0.000272224,0.000272224
19,283.166,0.94746,0.64998,0.97791,0.71668,0.67607,0.70812,0.45431,0.98962,0.64247,1.02023,0.000239238,0.000239238,0.000239238
20,297.468,0.95194,0.62926,0.98726,0.73154,0.67882,0.72301,0.4672,0.99606,0.63387,1.01685,0.000206251,0.000206251,0.000206251
21,311.855,0.92779,0.61628,0.9837,0.75683,0.67473,0.73266,0.47286,0.99038,0.62687,1.01868,0.000173264,0.000173264,0.000173264
22,326.066,0.91938,0.61629,0.97202,0.77386,0.67074,0.73595,0.47499,0.98824,0.62731,1.01914,0.000140277,0.000140277,0.000140277
23,340.245,0.93125,0.60597,0.9867,0.76726,0.67555,0.73555,0.48407,0.98054,0.61356,1.01536,0.00010729,0.00010729,0.00010729
24,354.392,0.9171,0.58924,0.97371,0.77321,0.68369,0.73755,0.48647,0.97363,0.61064,1.0118,7.43036e-05,7.43036e-05,7.43036e-05
25,368.63,0.9151,0.58453,0.96695,0.76296,0.68791,0.74492,0.49189,0.96198,0.59878,1.00906,4.13168e-05,4.13168e-05,4.13168e-05
