epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.1179,1.15172,1.26814,1.06317,0.81227,0.38612,0.44104,0.26937,1.09326,0.94015,1.05029,0.000274917,0.000274917,0.000274917
2,37.9152,1.14426,1.08635,1.06324,0.84502,0.41407,0.49469,0.29739,1.08408,0.92734,1.04142,0.000530702,0.000530702,0.000530702
3,55.1761,1.14279,1.03926,1.06503,0.79336,0.48006,0.53591,0.32346,1.06743,0.84034,1.04956,0.000764495,0.000764495,0.000764495
4,72.243,1.12082,0.96052,1.05915,0.7586,0.51411,0.55323,0.33593,1.08329,0.82895,1.05899,0.00073404,0.00073404,0.00073404
5,89.1192,1.0881,0.90133,1.04277,0.72592,0.52004,0.57992,0.34923,1.11378,0.81401,1.06055,0.000701053,0.000701053,0.000701053
6,105.709,1.09342,0.86884,1.04868,0.75627,0.56105,0.6215,0.38779,1.03406,0.71634,1.02915,0.000668066,0.000668066,0.000668066
7,122.614,1.06297,0.82485,1.03266,0.74176,0.56821,0.63773,0.39816,1.02896,0.71807,1.03272,0.000635079,0.000635079,0.000635079
8,139.303,1.05299,0.80717,1.02806,0.80379,0.57947,0.66735,0.42618,1.00177,0.68064,1.01874,0.000602092,0.000602092,0.000602092
9,155.924,1.01369,0.77118,1.02361,0.76544,0.56286,0.63837,0.40324,1.01837,0.69818,1.02219,0.000569106,0.000569106,0.000569106
10,172.456,1.02024,0.75339,1.01085,0.62517,0.63791,0.65794,0.42332,1.00991,0.68544,1.01863,0.000536119,0.000536119,0.000536119
11,189.129,1.01071,0.73422,1.01768,0.63868,0.67561,0.69653,0.44941,0.99778,0.65443,1.01815,0.000503132,0.000503132,0.000503132
12,205.802,0.99855,0.71699,1.00885,0.63509,0.66032,0.67651,0.43763,0.99794,0.65508,1.01627,0.000470145,0.000470145,0.000470145
13,222.335,1.00838,0.69591,1.00798,0.64863,0.65263,0.67885,0.43686,0.98839,0.64328,1.01572,0.000437158,0.000437158,0.000437158
14,238.816,0.97365,0.66906,0.99678,0.71204,0.65819,0.6981,0.45107,0.98401,0.62756,1.01229,0.000404172,0.000404172,0.000404172
15,255.251,0.98358,0.67068,1.00309,0.68,0.69085,0.70717,0.4605,0.98315,0.62082,1.01201,0.000371185,0.000371185,0.000371185
16,272.227,0.92605,0.64609,0.98321,0.70694,0.67731,0.71449,0.46271,0.97328,0.61782,1.00992,0.000338198,0.000338198,0.000338198
17,288.497,0.91503,0.61637,0.97978,0.76044,0.64172,0.71179,0.46187,0.98187,0.61622,1.0107,0.000305211,0.000305211,0.000305211
18,304.73,0.90162,0.61354,0.97896,0.74806,0.65203,0.72013,0.46996,0.9666,0.62248,1.00926,0.000272224,0.000272224,0.000272224
19,320.963,0.90489,0.60129,0.97824,0.67522,0.69119,0.7162,0.47052,0.97252,0.607,1.01179,0.000239238,0.000239238,0.000239238
20,337.263,0.90718,0.58334,0.97643,0.72216,0.70528,0.7367,0.48058,0.96384,0.58856,1.01007,0.000206251,0.000206251,0.000206251
21,353.467,0.89722,0.57687,0.98106,0.76055,0.68979,0.73671,0.48044,0.96565,0.58762,1.00617,0.000173264,0.000173264,0.000173264
22,369.546,0.85591,0.56122,0.95717,0.75629,0.70162,0.75184,0.50235,0.94846,0.58362,0.99934,0.000140277,0.000140277,0.000140277
23,385.632,0.88478,0.56102,0.97002,0.76142,0.70136,0.75632,0.50457,0.94669,0.57367,0.99791,0.00010729,0.00010729,0.00010729
24,401.908,0.86926,0.54749,0.96204,0.76202,0.69875,0.74905,0.50277,0.93918,0.56616,0.99566,7.43036e-05,7.43036e-05,7.43036e-05
25,418.013,0.86902,0.53998,0.9603,0.77063,0.7002,0.75572,0.50762,0.93434,0.5625,0.99406,4.13168e-05,4.13168e-05,4.13168e-05
