epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.851,1.53503,4.18789,1.22747,0.01201,0.42964,0.02839,0.01809,1.1456,3.8658,1.00909,4.165e-05,4.165e-05,4.165e-05
2,34.4247,1.40441,4.07873,1.08919,0.02441,0.49979,0.05154,0.03412,1.17368,3.80028,0.99577,8.80015e-05,8.80015e-05,8.80015e-05
3,47.6053,1.38008,3.79424,1.07894,0.02753,0.57981,0.08297,0.0538,1.19587,3.75611,0.99569,0.000130394,0.000130394,0.000130394
4,60.1098,1.31396,3.60563,1.05299,0.02473,0.59857,0.09608,0.06332,1.16156,3.7323,0.98382,0.000168829,0.000168829,0.000168829
5,72.53,1.41752,3.52564,1.07327,0.02227,0.63932,0.09792,0.06443,1.14657,3.68513,0.97637,0.000203305,0.000203305,0.000203305
6,84.3222,1.33875,3.22538,1.04482,0.02145,0.65369,0.10233,0.06411,1.15917,3.63244,0.9805,0.000233823,0.000233823,0.000233823
7,98.2784,1.26982,2.97928,1.04922,0.02401,0.69039,0.12618,0.07289,1.16041,3.58484,0.98688,0.000260382,0.000260382,0.000260382
8,111.787,1.3525,2.77186,1.07499,0.02579,0.70297,0.1573,0.09084,1.17572,3.50175,0.99537,0.000282983,0.000282983,0.000282983
9,124.022,1.35957,2.54137,1.06738,0.02443,0.694,0.18498,0.10818,1.20291,3.39694,1.01347,0.000301626,0.000301626,0.000301626
10,135.628,1.30708,2.3991,1.06209,0.02529,0.70924,0.20552,0.11831,1.24009,3.34279,1.03418,0.00031631,0.00031631,0.00031631
11,145.68,1.27869,2.24121,1.06941,0.02627,0.703,0.22174,0.12558,1.24537,3.28943,1.05127,0.000327036,0.000327036,0.000327036
12,155.54,1.33607,1.89919,1.06741,0.7169,0.16803,0.24408,0.13954,1.2603,3.13919,1.06346,0.000333803,0.000333803,0.000333803
13,165.37,1.3667,1.90714,1.09237,0.96876,0.06314,0.26786,0.15746,1.27545,2.89341,1.0721,0.000336612,0.000336612,0.000336612
14,175.288,1.3177,1.81217,1.07002,0.955,0.09109,0.28151,0.16987,1.26925,2.64878,1.07503,0.000335462,0.000335462,0.000335462
15,185.07,1.26901,1.62423,1.05962,0.95508,0.11977,0.28648,0.17471,1.26139,2.52129,1.07729,0.000330354,0.000330354,0.000330354
16,195.457,1.23515,1.4944,1.0586,0.79009,0.17862,0.29825,0.18143,1.26511,2.25738,1.08055,0.000321288,0.000321288,0.000321288
17,205.201,1.21165,1.39304,1.06461,0.82724,0.20396,0.3007,0.17853,1.30918,2.16114,1.10391,0.000305211,0.000305211,0.000305211
18,214.926,1.17259,1.36028,1.06603,0.64737,0.23693,0.30771,0.18387,1.25334,1.96608,1.09117,0.000272224,0.000272224,0.000272224
19,224.949,1.09748,1.37007,1.02111,0.63777,0.25367,0.31487,0.18901,1.23615,1.86218,1.08332,0.000239238,0.000239238,0.000239238
20,234.92,1.1077,1.36416,1.01626,0.63936,0.28136,0.32847,0.19863,1.20704,1.70328,1.0762,0.000206251,0.000206251,0.000206251
21,244.811,1.09454,1.33102,1.04381,0.64174,0.29009,0.33248,0.20116,1.19755,1.65085,1.07482,0.000173264,0.000173264,0.000173264
22,254.737,1.03257,1.25711,1.04331,0.78861,0.3117,0.34059,0.20593,1.20195,1.54969,1.07682,0.000140277,0.000140277,0.000140277
23,264.603,1.07531,1.3245,1.0125,0.7889,0.32009,0.34471,0.20891,1.19112,1.48198,1.07097,0.00010729,0.00010729,0.00010729
24,274.725,1.12393,1.30909,1.0071,0.78685,0.32853,0.34896,0.2122,1.17628,1.35995,1.06247,7.43036e-05,7.43036e-05,7.43036e-05
25,284.733,1.06728,1.27428,0.99336,0.78621,0.32998,0.34996,0.21258,1.1737,1.31615,1.06111,4.13168e-05,4.13168e-05,4.13168e-05
