epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.7651,1.24666,1.56105,1.08888,0.77349,0.37232,0.38145,0.23008,1.13501,1.08183,1.04585,0.00022491,0.00022491,0.00022491
2,25.4583,1.22025,1.37447,1.0776,0.80523,0.35613,0.38631,0.22799,1.14477,1.05722,1.06098,0.000440007,0.000440007,0.000440007
3,37.2749,1.2295,1.25876,1.0854,0.73499,0.43157,0.44245,0.26615,1.12548,1.00173,1.06657,0.000636632,0.000636632,0.000636632
4,48.8724,1.19571,1.18306,1.07612,0.63194,0.41998,0.45655,0.27166,1.17392,1.03283,1.08379,0.00073404,0.00073404,0.00073404
5,60.5187,1.17463,1.13289,1.07708,0.79364,0.45076,0.51111,0.30116,1.14281,0.96709,1.08722,0.000701053,0.000701053,0.000701053
6,72.217,1.19966,1.09172,1.08701,0.63678,0.44145,0.48771,0.28326,1.11904,0.94477,1.06543,0.000668066,0.000668066,0.000668066
7,83.6074,1.12085,1.0696,1.05615,0.66831,0.4495,0.4992,0.29478,1.1361,0.9141,1.0914,0.000635079,0.000635079,0.000635079
8,95.251,1.18896,1.06175,1.0785,0.65985,0.4776,0.53789,0.32649,1.10032,0.86267,1.05704,0.000602092,0.000602092,0.000602092
9,106.816,1.1456,1.00705,1.06041,0.72807,0.50201,0.54806,0.33441,1.08159,0.84885,1.05421,0.000569106,0.000569106,0.000569106
10,118.27,1.16157,1.00041,1.06461,0.6759,0.50054,0.55481,0.34269,1.08254,0.82263,1.06266,0.000536119,0.000536119,0.000536119
11,129.556,1.11734,0.97096,1.04853,0.67719,0.55453,0.5816,0.36675,1.07994,0.78585,1.05638,0.000503132,0.000503132,0.000503132
12,140.913,1.07848,0.92436,1.04027,0.76487,0.50886,0.58285,0.36419,1.06779,0.7864,1.05134,0.000470145,0.000470145,0.000470145
13,152.272,1.08367,0.90645,1.04462,0.7634,0.51832,0.5999,0.36754,1.087,0.79596,1.05533,0.000437158,0.000437158,0.000437158
14,163.742,1.10019,0.90345,1.04668,0.60791,0.54176,0.58808,0.36578,1.05581,0.75948,1.04185,0.000404172,0.000404172,0.000404172
15,174.981,1.06265,0.88558,1.03584,0.62355,0.57044,0.61142,0.38474,1.04264,0.74708,1.03413,0.000371185,0.000371185,0.000371185
16,186.767,1.0467,0.96193,1.02788,0.67417,0.57624,0.60798,0.38373,1.05122,0.77127,1.04191,0.000338198,0.000338198,0.000338198
17,197.814,1.03738,0.88024,1.0339,0.76953,0.50241,0.57461,0.34661,1.12717,0.82379,1.06892,0.000305211,0.000305211,0.000305211
18,209.176,0.99005,0.84198,1.00565,0.75172,0.52324,0.61216,0.38348,1.06794,0.801,1.051,0.000272224,0.000272224,0.000272224
19,220.261,1.02072,0.8592,1.02222,0.65275,0.62985,0.65325,0.41357,1.04845,0.74638,1.04465,0.000239238,0.000239238,0.000239238
20,231.425,0.97186,0.82964,0.9928,0.63412,0.6287,0.65292,0.4089,1.05021,0.7208,1.03966,0.000206251,0.000206251,0.000206251
21,242.541,0.957,0.78432,0.99001,0.64717,0.64478,0.65242,0.41106,1.05783,0.73416,1.04236,0.000173264,0.000173264,0.000173264
22,253.653,0.97785,0.81851,1.00405,0.69321,0.61901,0.65577,0.4184,1.02577,0.70452,1.03295,0.000140277,0.000140277,0.000140277
23,264.909,0.94791,0.77217,0.98994,0.64815,0.63931,0.65976,0.42239,1.02868,0.70829,1.03088,0.00010729,0.00010729,0.00010729
24,276.038,0.9588,0.78849,1.00123,0.69117,0.62024,0.66557,0.42413,1.03137,0.69538,1.03486,7.43036e-05,7.43036e-05,7.43036e-05
25,287.043,0.96133,0.77655,0.98878,0.6869,0.62781,0.66799,0.43019,1.01477,0.68567,1.02887,4.13168e-05,4.13168e-05,4.13168e-05
