epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,302.268,1.44363,1.15367,1.03175,0.50363,0.31555,0.33186,0.18572,1.41551,1.02176,1.00711,0.066776,3.32572e-05,3.32572e-05
2,597.305,1.38173,0.96971,1.00875,0.52168,0.37405,0.39632,0.2204,1.39164,0.90948,0.9956,0.0334716,6.21956e-05,6.21956e-05
3,889.393,1.35638,0.92498,1.00003,0.53008,0.38052,0.40841,0.22903,1.3722,0.8925,0.98353,0.000162837,8.67339e-05,8.67339e-05
4,1178.66,1.34441,0.89218,0.99533,0.55586,0.39182,0.42803,0.24055,1.35219,0.86336,0.97491,8.02e-05,8.02e-05,8.02e-05
5,1467.37,1.33357,0.88594,0.9892,0.58597,0.38856,0.42589,0.2369,1.3484,0.85486,0.97577,7.36e-05,7.36e-05,7.36e-05
6,1754.49,1.36467,0.86649,0.98817,0.5686,0.40428,0.44024,0.24432,1.34878,0.85154,0.97633,6.7e-05,6.7e-05,6.7e-05
7,2041.69,1.35247,0.8513,0.98328,0.56954,0.4019,0.43361,0.24652,1.34611,0.83939,0.97327,6.04e-05,6.04e-05,6.04e-05
8,2328.87,1.33628,0.82882,0.97866,0.58916,0.40637,0.44871,0.2565,1.33805,0.82684,0.96987,5.38e-05,5.38e-05,5.38e-05
9,2613.36,1.34269,0.83019,0.97984,0.58518,0.41841,0.45402,0.25536,1.34316,0.82722,0.96967,4.72e-05,4.72e-05,4.72e-05
10,2896.44,1.33426,0.8185,0.96838,0.60783,0.39578,0.44741,0.25367,1.33905,0.82177,0.96602,4.06e-05,4.06e-05,4.06e-05
11,3183.79,1.32298,0.80815,0.96926,0.59004,0.42083,0.45741,0.25654,1.33382,0.81385,0.96761,3.4e-05,3.4e-05,3.4e-05
12,3472.34,1.32114,0.80321,0.96998,0.60236,0.39744,0.45963,0.26108,1.32843,0.81123,0.96419,2.74e-05,2.74e-05,2.74e-05
13,3756.03,1.31393,0.79795,0.96356,0.55886,0.41448,0.45523,0.2589,1.32947,0.80942,0.96796,2.08e-05,2.08e-05,2.08e-05
14,4038.43,1.31659,0.79163,0.9647,0.58677,0.41343,0.45694,0.25954,1.32303,0.80548,0.96449,1.42e-05,1.42e-05,1.42e-05
15,4325.27,1.30106,0.78134,0.96133,0.57135,0.42824,0.45917,0.25915,1.32347,0.80518,0.96311,7.6e-06,7.6e-06,7.6e-06
