epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.1242,1.39845,0.92737,0.9949,0.5306,0.36351,0.38579,0.21735,1.39631,0.9271,0.98335,0.0667461,3.32572e-06,3.32572e-06
2,175.291,1.3463,0.8556,0.97676,0.56756,0.40591,0.42544,0.24253,1.35025,0.83473,0.96769,0.0334154,5.99981e-06,5.99981e-06
3,222.725,1.32128,0.82001,0.97043,0.62194,0.40503,0.45016,0.25936,1.32475,0.81089,0.96344,8.41174e-05,8.0139e-06,8.0139e-06
4,269.507,1.31337,0.79665,0.96692,0.64624,0.41464,0.4648,0.26695,1.31826,0.80473,0.96054,7.03e-06,7.03e-06,7.03e-06
5,317.559,1.30724,0.79734,0.96261,0.62711,0.41973,0.46401,0.26488,1.31533,0.8017,0.96137,6.04e-06,6.04e-06,6.04e-06
6,364.298,1.30618,0.78908,0.96144,0.60113,0.42947,0.46413,0.26731,1.31508,0.79998,0.95931,5.05e-06,5.05e-06,5.05e-06
7,411.591,1.3084,0.78843,0.96272,0.60916,0.43004,0.46531,0.26664,1.31373,0.79695,0.96018,4.06e-06,4.06e-06,4.06e-06
8,458.458,1.29166,0.77973,0.95862,0.61185,0.42845,0.46723,0.26859,1.31267,0.79423,0.95999,3.07e-06,3.07e-06,3.07e-06
9,505.77,1.30331,0.77774,0.96119,0.63961,0.42538,0.46872,0.26946,1.31233,0.79428,0.9589,2.08e-06,2.08e-06,2.08e-06
10,553.459,1.30145,0.78098,0.95865,0.61999,0.42393,0.46792,0.26973,1.31157,0.79402,0.95928,1.09e-06,1.09e-06,1.09e-06
