epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.1786,1.67036,2.16848,1.07553,0.55854,0.17336,0.17,0.08952,1.54196,1.21573,1.03799,0.000237457,0.000237457,0.000237457
2,82.8249,1.54053,1.29849,1.05525,0.47268,0.20966,0.19833,0.10246,1.53882,1.14226,1.04107,0.000456629,0.000456629,0.000456629
3,121.534,1.52481,1.20045,1.05603,0.30761,0.23325,0.21091,0.10853,1.52992,1.14348,1.04196,0.000656951,0.000656951,0.000656951
4,160.132,1.50672,1.12334,1.05106,0.32235,0.24087,0.22755,0.11738,1.50605,1.06074,1.0351,0.000629177,0.000629177,0.000629177
5,198.513,1.48504,1.08912,1.04295,0.39254,0.25042,0.24735,0.13132,1.48086,1.03617,1.03135,0.000600902,0.000600902,0.000600902
6,237.154,1.47003,1.041,1.03449,0.34036,0.2723,0.25777,0.13229,1.48899,1.01328,1.0244,0.000572628,0.000572628,0.000572628
7,275.602,1.46398,1.03072,1.03297,0.52946,0.28491,0.27451,0.14345,1.45664,0.98295,1.01469,0.000544354,0.000544354,0.000544354
8,314.158,1.44232,1.00609,1.0253,0.3681,0.28279,0.26856,0.14062,1.45314,0.97358,1.01498,0.000516079,0.000516079,0.000516079
9,352.699,1.43595,0.98968,1.02174,0.43233,0.2857,0.28934,0.15251,1.43853,0.95905,1.01131,0.000487805,0.000487805,0.000487805
10,391.296,1.42009,0.97836,1.01631,0.42272,0.30583,0.29828,0.15817,1.43677,0.9534,1.00636,0.00045953,0.00045953,0.00045953
11,429.987,1.41152,0.96605,1.01573,0.35495,0.30603,0.2891,0.15285,1.42756,0.93572,1.00309,0.000431256,0.000431256,0.000431256
12,468.696,1.41124,0.95608,1.0128,0.45362,0.29196,0.3037,0.15837,1.41772,0.91938,1.00433,0.000402982,0.000402982,0.000402982
13,507.439,1.40326,0.94234,1.0087,0.36269,0.3166,0.302,0.15736,1.41327,0.92058,0.99793,0.000374707,0.000374707,0.000374707
14,546.142,1.40227,0.93659,1.007,0.43102,0.30905,0.30581,0.16214,1.41122,0.90744,0.99982,0.000346433,0.000346433,0.000346433
15,584.995,1.38088,0.92593,1.00007,0.43209,0.30278,0.30985,0.16415,1.39725,0.90155,0.99456,0.000318158,0.000318158,0.000318158
16,622.742,1.41673,0.92297,1.00492,0.40432,0.3108,0.30538,0.16176,1.40773,0.90754,0.9987,0.000289884,0.000289884,0.000289884
17,659.943,1.40792,0.90667,0.99906,0.48681,0.29624,0.32116,0.16993,1.4045,0.90353,0.9951,0.00026161,0.00026161,0.00026161
18,697.233,1.38916,0.88667,0.99567,0.4347,0.31115,0.32353,0.17059,1.40169,0.89574,0.99593,0.000233335,0.000233335,0.000233335
19,734.468,1.39033,0.87855,0.99377,0.39907,0.31664,0.32203,0.1693,1.40339,0.88527,0.99485,0.000205061,0.000205061,0.000205061
20,771.657,1.37572,0.8676,0.9883,0.48,0.31492,0.32968,0.17602,1.39893,0.88235,0.99471,0.000176786,0.000176786,0.000176786
21,808.859,1.37831,0.86288,0.99046,0.42882,0.33473,0.32776,0.17512,1.38875,0.87496,0.99057,0.000148512,0.000148512,0.000148512
22,845.988,1.35577,0.85049,0.98375,0.4505,0.3131,0.3325,0.1774,1.38447,0.87048,0.98664,0.000120238,0.000120238,0.000120238
23,883.209,1.36201,0.84587,0.98346,0.46707,0.31998,0.33902,0.18012,1.38236,0.86124,0.98708,9.19632e-05,9.19632e-05,9.19632e-05
24,920.504,1.3503,0.83706,0.97919,0.45188,0.32164,0.33991,0.18258,1.37834,0.85972,0.98544,6.36888e-05,6.36888e-05,6.36888e-05
25,957.737,1.34884,0.83024,0.97868,0.45632,0.33195,0.34317,0.18305,1.37527,0.8574,0.98522,3.54144e-05,3.54144e-05,3.54144e-05
