epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.6641,1.63576,2.21802,1.08875,0.64265,0.16123,0.1513,0.07866,1.5504,1.2589,1.04327,0.00332572,0.00332572,0.00332572
2,134.048,1.57013,1.3814,1.0706,0.47388,0.19177,0.1725,0.08779,1.56905,1.20395,1.05924,0.00659313,0.00659313,0.00659313
3,172.193,1.60036,1.35042,1.08555,0.46824,0.18095,0.1629,0.08095,1.64905,1.34418,1.09485,0.00979454,0.00979454,0.00979454
4,209.828,1.61484,1.30573,1.09081,0.40052,0.19451,0.19076,0.09552,1.6155,1.17943,1.07805,0.009703,0.009703,0.009703
5,247.309,1.58465,1.2459,1.08166,0.35493,0.19847,0.17392,0.08557,1.59315,1.17481,1.07708,0.009604,0.009604,0.009604
6,284.749,1.56576,1.18273,1.06974,0.32421,0.22329,0.21576,0.10754,1.55151,1.09735,1.05876,0.009505,0.009505,0.009505
7,322.248,1.55295,1.15431,1.06447,0.38711,0.25073,0.23664,0.12172,1.53376,1.0847,1.05054,0.009406,0.009406,0.009406
8,359.922,1.52219,1.11103,1.05458,0.31746,0.23942,0.21614,0.10978,1.51925,1.08552,1.04528,0.009307,0.009307,0.009307
9,397.319,1.51052,1.08768,1.04922,0.33522,0.25062,0.23753,0.11859,1.52581,1.05534,1.05456,0.009208,0.009208,0.009208
10,434.672,1.49678,1.07186,1.04521,0.43964,0.25876,0.24145,0.12308,1.49209,1.01676,1.03373,0.009109,0.009109,0.009109
11,472.265,1.48896,1.05954,1.04418,0.35189,0.2672,0.25006,0.12926,1.47697,1.00198,1.02714,0.00901,0.00901,0.00901
12,509.748,1.48455,1.04546,1.04171,0.44344,0.27256,0.26935,0.13924,1.47623,1.00438,1.03384,0.008911,0.008911,0.008911
13,547.163,1.47885,1.03158,1.03514,0.34992,0.27085,0.25185,0.13022,1.47133,0.9847,1.02177,0.008812,0.008812,0.008812
14,584.537,1.475,1.02057,1.03323,0.49062,0.25467,0.26377,0.13473,1.46673,0.99011,1.02757,0.008713,0.008713,0.008713
15,621.926,1.45646,1.01272,1.02699,0.35675,0.29172,0.27152,0.13862,1.46192,0.97609,1.01899,0.008614,0.008614,0.008614
16,659.155,1.45829,0.99737,1.03042,0.36939,0.29215,0.27727,0.14562,1.44892,0.95793,1.01834,0.008515,0.008515,0.008515
17,696.565,1.45743,0.99088,1.02597,0.348,0.31167,0.28311,0.14558,1.44775,0.95403,1.01917,0.008416,0.008416,0.008416
18,733.881,1.44268,0.98688,1.02625,0.34305,0.31282,0.28571,0.14733,1.44434,0.93818,1.01601,0.008317,0.008317,0.008317
19,771.486,1.44508,0.97887,1.02618,0.36563,0.28792,0.27296,0.14509,1.4402,0.9442,1.01619,0.008218,0.008218,0.008218
20,808.876,1.42445,0.96361,1.01697,0.3644,0.30263,0.28115,0.14971,1.43358,0.93093,1.01007,0.008119,0.008119,0.008119
21,846.406,1.43769,0.96848,1.02139,0.40227,0.27692,0.28566,0.15111,1.42626,0.92498,1.01277,0.00802,0.00802,0.00802
22,883.868,1.40877,0.9541,1.01403,0.39823,0.30294,0.29708,0.15514,1.4265,0.91942,1.01036,0.007921,0.007921,0.007921
23,921.293,1.41166,0.95116,1.01358,0.38272,0.30731,0.29901,0.15814,1.42227,0.91065,1.00711,0.007822,0.007822,0.007822
24,958.673,1.41226,0.94999,1.01439,0.40767,0.28921,0.29833,0.16063,1.41098,0.90894,1.00427,0.007723,0.007723,0.007723
25,995.941,1.40903,0.94255,1.01318,0.46294,0.29711,0.30306,0.1593,1.42081,0.91482,1.00666,0.007624,0.007624,0.007624
26,1033.36,1.40489,0.93476,1.00685,0.38661,0.30658,0.31022,0.16084,1.41526,0.90659,1.00469,0.007525,0.007525,0.007525
27,1070.65,1.3997,0.92917,1.00936,0.37945,0.31385,0.30524,0.15972,1.4198,0.90106,1.00418,0.007426,0.007426,0.007426
28,1107.91,1.38956,0.92028,1.00233,0.45005,0.2925,0.31518,0.16555,1.40587,0.89527,1.00245,0.007327,0.007327,0.007327
29,1145.25,1.39134,0.91921,1.00466,0.4211,0.29864,0.30763,0.16318,1.40438,0.89531,0.99916,0.007228,0.007228,0.007228
30,1182.75,1.40765,0.92632,1.00745,0.41367,0.30349,0.30899,0.16457,1.4022,0.8879,0.99727,0.007129,0.007129,0.007129
31,1220.13,1.39366,0.91868,1.00589,0.38475,0.3197,0.30824,0.16576,1.39621,0.88361,0.99511,0.00703,0.00703,0.00703
32,1257.41,1.39477,0.9197,1.00682,0.40158,0.30893,0.30878,0.16202,1.3967,0.881,0.99678,0.006931,0.006931,0.006931
33,1294.7,1.38776,0.91482,1.0048,0.40486,0.31702,0.31601,0.16682,1.3973,0.88529,0.99472,0.006832,0.006832,0.006832
34,1332.2,1.37383,0.89909,1.00104,0.38668,0.31644,0.32113,0.1715,1.39358,0.87287,0.99463,0.006733,0.006733,0.006733
35,1369.66,1.38577,0.90583,0.99924,0.45878,0.29693,0.31665,0.16939,1.39174,0.87489,0.99883,0.006634,0.006634,0.006634
36,1407.03,1.37284,0.89607,0.99907,0.41031,0.30201,0.31253,0.1673,1.39129,0.8681,0.99496,0.006535,0.006535,0.006535
37,1444.26,1.37954,0.89728,0.99924,0.42357,0.316,0.31761,0.16933,1.38723,0.86457,0.99525,0.006436,0.006436,0.006436
38,1481.78,1.37556,0.89682,0.99905,0.38804,0.32885,0.32057,0.16947,1.38577,0.86228,0.99234,0.006337,0.006337,0.006337
