epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.686,1.20886,1.83447,1.0668,0.69848,0.5111,0.56379,0.35097,1.04143,0.80861,1.04029,0.000237513,0.000237513,0.000237513
2,264.397,1.08121,0.90393,1.04936,0.59951,0.59242,0.61861,0.37877,1.09533,0.77483,1.06787,0.000456683,0.000456683,0.000456683
3,391.955,1.06838,0.81484,1.05396,0.801,0.56635,0.66043,0.41926,1.00738,0.70645,1.05222,0.000657003,0.000657003,0.000657003
4,518.513,1.04312,0.74746,1.04417,0.65856,0.64324,0.67638,0.42839,0.99291,0.65383,1.04291,0.000629177,0.000629177,0.000629177
5,644.716,1.0151,0.70043,1.03532,0.75766,0.66094,0.73285,0.48335,0.97335,0.63257,1.03686,0.000600902,0.000600902,0.000600902
6,770.567,0.99167,0.6638,1.0271,0.73257,0.65994,0.71155,0.45828,0.97354,0.61181,1.03488,0.000572628,0.000572628,0.000572628
7,896.789,0.98317,0.65023,1.02606,0.73752,0.70668,0.75831,0.49502,0.966,0.59131,1.03265,0.000544354,0.000544354,0.000544354
8,1022.73,0.98329,0.63656,1.02476,0.75854,0.72615,0.76762,0.51307,0.94814,0.58287,1.02265,0.000516079,0.000516079,0.000516079
9,1146.7,0.95538,0.6165,1.01523,0.77027,0.73051,0.77494,0.52055,0.92871,0.56539,1.01646,0.000487805,0.000487805,0.000487805
10,1198.64,0.95097,0.60241,1.01469,0.7821,0.74733,0.80069,0.53814,0.92604,0.55782,1.01444,0.00045953,0.00045953,0.00045953
11,1250.45,0.94638,0.59472,1.00874,0.78523,0.74859,0.80974,0.5466,0.91676,0.54168,1.01095,0.000431256,0.000431256,0.000431256
12,1302.14,0.93784,0.58516,1.00523,0.82541,0.73048,0.8102,0.55154,0.9139,0.53943,1.00578,0.000402982,0.000402982,0.000402982
13,1353.68,0.92691,0.57619,1.0013,0.78573,0.75378,0.81134,0.54915,0.90847,0.52956,1.00914,0.000374707,0.000374707,0.000374707
14,1405.46,0.91531,0.56494,0.99688,0.78462,0.76144,0.81522,0.55644,0.90197,0.5289,1.00673,0.000346433,0.000346433,0.000346433
15,1457.37,0.91805,0.56269,0.99943,0.7914,0.764,0.816,0.56058,0.89524,0.52619,1.00224,0.000318158,0.000318158,0.000318158
16,1508.15,0.883,0.52759,0.992,0.80545,0.77218,0.82817,0.56934,0.89785,0.51925,1.00148,0.000289884,0.000289884,0.000289884
17,1558.51,0.87353,0.51517,0.98958,0.80754,0.77661,0.83168,0.57254,0.89225,0.51504,1.00397,0.00026161,0.00026161,0.00026161
18,1608.73,0.85531,0.50563,0.9814,0.81273,0.7794,0.83786,0.57848,0.88952,0.50296,1.00065,0.000233335,0.000233335,0.000233335
19,1658.86,0.85133,0.50025,0.9781,0.81933,0.78085,0.83413,0.57718,0.87951,0.49827,0.99536,0.000205061,0.000205061,0.000205061
20,1708.94,0.84265,0.49193,0.97316,0.83925,0.77252,0.84477,0.58433,0.88074,0.49399,0.9975,0.000176786,0.000176786,0.000176786
21,1759.22,0.83816,0.48617,0.97286,0.82057,0.77274,0.83655,0.57908,0.87517,0.49385,0.99392,0.000148512,0.000148512,0.000148512
22,1809.23,0.83376,0.48027,0.97063,0.83473,0.7766,0.84594,0.59025,0.86625,0.48424,0.99136,0.000120238,0.000120238,0.000120238
23,1859.28,0.82038,0.46816,0.9647,0.83459,0.77923,0.84627,0.59263,0.86822,0.4823,0.99082,9.19632e-05,9.19632e-05,9.19632e-05
24,1909.26,0.82164,0.47005,0.96535,0.83435,0.78406,0.85174,0.59694,0.85999,0.47688,0.98781,6.36888e-05,6.36888e-05,6.36888e-05
25,1959.52,0.80435,0.46141,0.95976,0.83582,0.78562,0.85302,0.59557,0.85938,0.47608,0.98595,3.54144e-05,3.54144e-05,3.54144e-05
