epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.9362,1.20503,1.56386,1.08803,0.77422,0.3509,0.37008,0.22142,1.14296,1.11231,1.06019,0.00022491,0.00022491,0.00022491
2,25.8803,1.13487,1.29123,1.0577,0.81662,0.37856,0.42598,0.25276,1.14531,1.02844,1.07017,0.000440007,0.000440007,0.000440007
3,37.7353,1.16918,1.19414,1.06772,0.77857,0.41397,0.45487,0.26919,1.14716,1.03277,1.0825,0.000636632,0.000636632,0.000636632
4,49.4982,1.15519,1.12829,1.05455,0.80578,0.40988,0.45779,0.27474,1.16043,0.99511,1.08939,0.00073404,0.00073404,0.00073404
5,61.117,1.1786,1.07853,1.07757,0.7655,0.45225,0.47936,0.28475,1.12385,0.97699,1.08012,0.000701053,0.000701053,0.000701053
6,72.9589,1.13963,1.04431,1.06032,0.75947,0.42237,0.46895,0.27014,1.14962,0.93968,1.09808,0.000668066,0.000668066,0.000668066
7,84.5666,1.13037,1.0025,1.05791,0.68673,0.47894,0.522,0.31298,1.10357,0.86295,1.06925,0.000635079,0.000635079,0.000635079
8,96.2028,1.14473,1.01293,1.05877,0.82882,0.47193,0.5496,0.33564,1.09938,0.89418,1.07015,0.000602092,0.000602092,0.000602092
9,107.879,1.11837,0.95271,1.03963,0.86721,0.46964,0.55653,0.34047,1.11783,0.84463,1.07289,0.000569106,0.000569106,0.000569106
10,119.293,1.04317,0.91289,1.02398,0.70536,0.48037,0.56827,0.3495,1.0943,0.82204,1.05989,0.000536119,0.000536119,0.000536119
11,130.771,1.09836,0.94135,1.03491,0.84448,0.46548,0.54489,0.33143,1.09486,0.82636,1.06144,0.000503132,0.000503132,0.000503132
12,142.064,1.05293,0.88668,1.03122,0.82265,0.49344,0.57146,0.3576,1.06726,0.80587,1.04625,0.000470145,0.000470145,0.000470145
13,153.416,1.07933,0.88832,1.03753,0.84074,0.47341,0.56788,0.3588,1.07542,0.85062,1.05248,0.000437158,0.000437158,0.000437158
14,164.819,1.07063,0.88149,1.04817,0.85191,0.47896,0.58189,0.36287,1.05681,0.79043,1.05185,0.000404172,0.000404172,0.000404172
15,176.087,1.06644,0.88544,1.03246,0.75666,0.49801,0.59306,0.37079,1.06479,0.75607,1.05152,0.000371185,0.000371185,0.000371185
16,188.006,1.0341,0.93779,1.02393,0.74545,0.49119,0.59838,0.37119,1.08488,0.83485,1.05772,0.000338198,0.000338198,0.000338198
17,199.214,0.99168,0.8674,1.01505,0.74016,0.50171,0.58562,0.36772,1.07815,0.81873,1.05398,0.000305211,0.000305211,0.000305211
18,210.45,0.98605,0.82146,0.99834,0.83426,0.50096,0.58469,0.36929,1.05644,0.77422,1.04588,0.000272224,0.000272224,0.000272224
19,221.741,0.97189,0.81439,0.99743,0.73015,0.53131,0.59911,0.37375,1.05298,0.75797,1.04553,0.000239238,0.000239238,0.000239238
20,232.927,0.94911,0.77149,0.98004,0.67961,0.55451,0.59484,0.3708,1.07214,0.76254,1.04938,0.000206251,0.000206251,0.000206251
21,244.012,0.95536,0.78095,0.9747,0.77801,0.53451,0.6184,0.39056,1.04426,0.7323,1.04022,0.000173264,0.000173264,0.000173264
22,255.143,0.96607,0.75626,1.00403,0.76193,0.55023,0.62563,0.39579,1.03214,0.71935,1.03991,0.000140277,0.000140277,0.000140277
23,266.357,0.96375,0.74539,0.98821,0.76829,0.55212,0.63856,0.40762,1.02775,0.71476,1.03323,0.00010729,0.00010729,0.00010729
24,277.523,0.9099,0.73904,0.97489,0.73015,0.56903,0.64478,0.41325,1.02236,0.70866,1.03301,7.43036e-05,7.43036e-05,7.43036e-05
25,288.655,0.91243,0.72987,0.96571,0.72183,0.57578,0.64454,0.41105,1.02957,0.70879,1.03629,4.13168e-05,4.13168e-05,4.13168e-05
