epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.9752,1.16888,1.4005,1.05964,0.77061,0.32577,0.34194,0.19353,1.23334,1.14701,1.09948,0.00022491,0.00022491,0.00022491
2,25.7475,1.10852,1.18657,1.05441,0.79236,0.34265,0.35995,0.20443,1.20894,1.10086,1.08788,0.000440007,0.000440007,0.000440007
3,37.7198,1.14363,1.13789,1.06293,0.78739,0.35303,0.36443,0.20918,1.16677,1.14804,1.08507,0.000636632,0.000636632,0.000636632
4,49.2624,1.09688,1.05424,1.04567,0.82209,0.36758,0.41372,0.24918,1.13571,1.04392,1.07318,0.00073404,0.00073404,0.00073404
5,60.8775,1.10135,1.06942,1.06287,0.81839,0.39294,0.43075,0.25026,1.15848,1,1.0721,0.000701053,0.000701053,0.000701053
6,72.4951,1.12964,1.03896,1.04974,0.56289,0.45454,0.46084,0.26992,1.10024,0.93918,1.05901,0.000668066,0.000668066,0.000668066
7,84.1055,1.13817,1.03761,1.0773,0.62603,0.44657,0.47376,0.28635,1.08961,0.89548,1.06381,0.000635079,0.000635079,0.000635079
8,95.6495,1.11056,1.02334,1.03102,0.66992,0.44805,0.49948,0.30457,1.08815,0.85625,1.06215,0.000602092,0.000602092,0.000602092
9,107.146,1.09127,0.9682,1.04545,0.65758,0.4741,0.53012,0.32556,1.07267,0.82026,1.05278,0.000569106,0.000569106,0.000569106
10,118.551,1.04605,0.91093,1.03228,0.68536,0.463,0.53089,0.32105,1.0791,0.8225,1.04682,0.000536119,0.000536119,0.000536119
11,129.883,1.04492,0.90994,1.01626,0.83756,0.48573,0.53741,0.32559,1.0612,0.79846,1.04558,0.000503132,0.000503132,0.000503132
12,141.159,1.03102,0.86211,1.01874,0.83716,0.47279,0.55782,0.34139,1.06869,0.79832,1.04534,0.000470145,0.000470145,0.000470145
13,152.475,1.03715,0.87088,1.01809,0.67615,0.51929,0.55472,0.34,1.06832,0.8066,1.04065,0.000437158,0.000437158,0.000437158
14,163.667,1.00442,0.85563,1.02423,0.67477,0.51715,0.55959,0.34171,1.05122,0.77619,1.04186,0.000404172,0.000404172,0.000404172
15,174.937,1.01992,0.83598,1.01318,0.66383,0.53789,0.5653,0.34186,1.0699,0.78474,1.04026,0.000371185,0.000371185,0.000371185
16,186.603,1.0027,0.94466,1.01426,0.69212,0.51382,0.54781,0.33788,1.0608,0.83618,1.04283,0.000338198,0.000338198,0.000338198
17,197.671,0.98611,0.84839,1.01175,0.5952,0.56156,0.57516,0.35799,1.06431,0.79327,1.03685,0.000305211,0.000305211,0.000305211
18,208.754,0.95262,0.80975,0.98581,0.78693,0.50698,0.59188,0.36753,1.03344,0.74647,1.03193,0.000272224,0.000272224,0.000272224
19,220.082,0.93856,0.80802,0.98999,0.62293,0.58142,0.59608,0.37276,1.0392,0.74063,1.03715,0.000239238,0.000239238,0.000239238
20,231.17,0.90342,0.79249,0.95567,0.56827,0.58766,0.58403,0.36428,1.0309,0.73795,1.03588,0.000206251,0.000206251,0.000206251
21,242.211,0.91846,0.77138,0.97414,0.64185,0.57795,0.60476,0.37748,1.03834,0.72483,1.03553,0.000173264,0.000173264,0.000173264
22,253.348,0.90851,0.76515,0.97606,0.61955,0.58381,0.60748,0.38064,1.02367,0.71373,1.02723,0.000140277,0.000140277,0.000140277
23,264.462,0.92355,0.74687,0.98534,0.58061,0.62193,0.61838,0.39228,1.01734,0.70447,1.0225,0.00010729,0.00010729,0.00010729
24,275.599,0.88768,0.73446,0.96903,0.60251,0.60674,0.61896,0.39297,1.01104,0.69915,1.02259,7.43036e-05,7.43036e-05,7.43036e-05
25,286.702,0.88144,0.71438,0.96597,0.61666,0.6127,0.62344,0.39662,1.00931,0.69302,1.02239,4.13168e-05,4.13168e-05,4.13168e-05
